nom_rue,nom_commune,date_installation,num_materiel_evoserv,ent_vmoy,ent_v30,ent_v50,ent_v85,sor_vmoy,sor_v30,sor_v50,sor_v85,fid,geo_point_2d
20 rue General Ferrie,Grenoble,septembre 2016,3997.0,43.0,22.0,25.0,34.0,56.0,23.0,28.0,39.0,81,"45.17891906525153, 5.723804503694807"
4 rue Marcelin Berthelot,Grenoble,septembre 2016,3919.0,44.0,22.0,26.0,36.0,31.0,18.0,20.0,24.0,82,"45.18002885577466, 5.731643066122791"
70 avenue de la Bruyere,Grenoble,aout 2016,3931.0,41.0,24.0,28.0,36.0,43.0,25.0,28.0,37.0,83,"45.16659432620854, 5.729603576428523"
35 rue Aime Pupin,Grenoble,avril 2017,4195.0,76.0,27.0,33.0,44.0,58.0,26.0,32.0,42.0,84,"45.161505828533826, 5.724160861730003"
88 rue Lucien Andrieux,Grenoble,septembre 2016,3917.0,42.0,21.0,25.0,33.0,,,,,85,"45.16140080180496, 5.720753710806775"
27 cours berriat,Grenoble,aout 2016,4047.0,60.0,28.0,34.0,45.0,75.0,27.0,33.0,44.0,86,"45.18791642957546, 5.719998036581414"
16 rue Bizanet,Grenoble,aout 2016,3936.0,57.0,22.0,25.0,34.0,51.0,23.0,28.0,39.0,87,"45.19766744252229, 5.740490346339618"
28 bis rue Lachmann,Grenoble,aout 2016,3932.0,48.0,19.0,21.0,29.0,43.0,19.0,22.0,30.0,88,"45.19896853962271, 5.736548881454784"
34 chemin de la Blanchisserie,Grenoble,juillet 2016,3916.0,54.0,22.0,26.0,37.0,44.0,22.0,26.0,37.0,89,"45.184261805484425, 5.746768993470807"
22 rue Leon Jouhaux,Grenoble,juillet 2017,3920.0,54.0,29.0,34.0,44.0,55.0,33.0,37.0,46.0,90,"45.18169839025447, 5.740939775727754"
6-8 place Bir Hakeim,Grenoble,aout 2016,4042.0,44.0,23.0,27.0,35.0,46.0,20.0,23.0,34.0,91,"45.18885164208138, 5.736291335419369"
10 avenue du Vercors,Fontaine,decembre 2016,4092.0,47.0,23.0,27.0,36.0,43.0,23.0,30.0,40.0,92,"45.19246758681553, 5.6994376182227615"
13 mail Marcel Cachin,Fontaine,mars 2017,4212.0,70.0,26.0,31.0,41.0,69.0,23.0,28.0,39.0,93,"45.19518359156808, 5.69212870025847"
7 Chemin de la cote fauchee,Champagnier,decembre 2016,4087.0,54.0,27.0,30.0,39.0,75.0,30.0,34.0,43.0,94,"45.115612747482345, 5.72108813999313"
71 avenue Rhin et Danube,Grenoble,janvier 2017,4098.0,51.0,24.0,28.0,38.0,50.0,28.0,32.0,42.0,95,"45.171078895042996, 5.705053945570181"
31 avenue Rhin et Danube,Grenoble,janvier 2017,4096.0,65.0,30.0,35.0,45.0,62.0,32.0,36.0,46.0,96,"45.17616071506441, 5.705254598668631"
6 boulevard Roger Salengro,Grenoble,janvier 2017,4107.0,59.0,20.0,23.0,31.0,61.0,20.0,24.0,35.0,97,"45.175024769261334, 5.712921796080568"
Rue jean jaures,Gières,,4272.0,,,,,,,,,98,"45.18231189309823, 5.7938306076266555"
365 avenue Joliot Curie,Varces-Allières-et-Risset,juillet 2017,4312.0,,,,,,,,,99,"45.09575906402134, 5.683749640493357"
25 avenue de Provence,Varces-Allières-et-Risset,juillet 2017,4308.0,,,,,,,,,100,"45.08256454996562, 5.680794048555104"
,Vizille,,3935.0,,,,,,,,,101,"45.052972619480556, 5.7782785117657856"
23 rue Louise Micel,Grenoble,janvier 2017,4106.0,40.0,20.0,23.0,32.0,57.0,20.0,24.0,36.0,102,"45.169125035006594, 5.7089497894236265"
Cassoulet,Miribel-Lanchâtre,decembre 2016,4088.0,,,,,,,,,103,"44.98169383747448, 5.623112276832478"
RD8,Miribel-Lanchâtre,decembre 2016,4079.0,61.0,32.0,37.0,45.0,,,,,104,"44.97509890512623, 5.620934861071101"
12 Rue du Rafour,Fontanil-Cornillon,juillet 2016,3921.0,45.0,25.0,28.0,36.0,49.0,25.0,29.0,37.0,105,"45.25049235811203, 5.6672494784065135"
Rue Mozart/Chorier,Grenoble,,3732.0,47.0,21.0,24.0,33.0,,,,,106,"45.1861706924939, 5.709400193731378"
44 rue Pierre Semard,Grenoble,avril 2017,4191.0,62.0,24.0,30.0,41.0,55.0,22.0,27.0,36.0,107,"45.19245891525151, 5.709933141899489"
45 rue Pierre Semard,Grenoble,mars 2017,4172.0,44.0,22.0,26.0,35.0,64.0,22.0,27.0,39.0,108,"45.19205900944753, 5.71025956296509"
2 rue des Eaux Claires,Grenoble,mars 2017,4175.0,46.0,23.0,27.0,38.0,55.0,23.0,28.0,38.0,109,"45.17939266748367, 5.711428473974614"
14 rue Joseph Bertoin,Fontaine,mars 2017,4209.0,48.0,25.0,30.0,39.0,73.0,24.0,28.0,38.0,110,"45.19853195073554, 5.681721406367462"
132 boulevard Joliot Curie,Fontaine,mars 2017,4207.0,71.0,24.0,28.0,37.0,45.0,22.0,26.0,34.0,111,"45.198801201854174, 5.692325696274761"
22 quai de France,Grenoble,mars 2017,4196.0,57.0,23.0,27.0,37.0,49.0,24.0,28.0,37.0,112,"45.1934729468614, 5.721486157897072"
42 route de Saint Georges de Commiers,Champ-sur-Drac,avril 2017,4169.0,,,,,,,,,113,"45.080344999351375, 5.727090358638019"
5 avenue Lénine,Fontaine,mars 2017,4194.0,62.0,30.0,35.0,46.0,61.0,32.0,36.0,45.0,114,"45.187850018495766, 5.689825287959752"
88 rue Charles Michel,Fontaine,mars 2017,4199.0,55.0,24.0,28.0,36.0,51.0,21.0,25.0,34.0,115,"45.193460114819445, 5.6860843342005225"
Grande Rue,Fontanil-Cornillon,?,3918.0,49.0,26.0,30.0,37.0,54.0,28.0,32.0,42.0,116,"45.25672158415802, 5.662556496255744"
244 route du Mollard,Jarrie,juillet 2017,4288.0,,,,,,,,,117,"45.115458876091765, 5.754300384860227"
Rue de la République,Bresson,juillet 2017,4290.0,,,,,,,,,118,"45.137666772773954, 5.747819540225933"
3 rue de Bretagne,Échirolles,juillet 2017,4321.0,,,,,,,,,119,"45.15862299167374, 5.718255810030469"
22 rue de la Paix,Échirolles,juillet 2017,4310.0,,,,,,,,,120,"45.14111188761685, 5.708090164987368"
89 rue Jean Jaurès,Domène,juillet 2017,4311.0,,,,,,,,,121,"45.19852777686484, 5.834958499886991"
3 rue de la République,Domène,juillet 2017,4314.0,,,,,,,,,122,"45.201663129454715, 5.840127420648298"
25 rue Pierre Sémard,Échirolles,juillet 2017,4307.0,,,,,,,,,123,"45.14903277112386, 5.709840779308721"
21 rue Ampère,Grenoble,juin 2017,4274.0,56.0,26.0,30.0,41.0,62.0,26.0,31.0,41.0,124,"45.18440443115662, 5.705620763332498"
16 rue Ampère,Grenoble,juin 2017,4273.0,67.0,24.0,28.0,39.0,67.0,24.0,29.0,40.0,125,"45.18319431208177, 5.705645148103468"
Route Napoleon,Brié-et-Angonnes,,4337.0,,,,,,,,,126,"45.12096343218171, 5.78135751252039"
Route du Souveyron,Brié-et-Angonnes,,4376.0,,,,,,,,,127,"45.12986221492985, 5.781017229467698"
Route des angonnes,Brié-et-Angonnes,,4377.0,,,,,,,,,128,"45.13859760446276, 5.7735517653243615"
,Champ-sur-Drac,,4041.0,,,,,,,,,129,"45.07098722410152, 5.722949868493938"
52 avenue de La Combe,Gières,2021-06-01,5593.0,,,,,,,,,130,"45.172275275554746, 5.7899485174367555"
