id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,orien_etiq,orien,num_poste,num_ope,fid,geo_point_2d
67,GRENOBLE,38185,"6 Boulevard Agutte Sembat",NC,20151203,20151203,,326,334,,,,678,725,742,964,874,805,660,5545,6205,330,792,964,,,,,,1004,,33,"45.18863600001899, 5.725863000000001"
68,GRENOBLE,38185,"Pont de la Porte de France",NC,20161003,20161003,,218,118,,,,163,162,157,216,198,201,336,1257,1593,168,180,218,,,,,,1010,,34,"45.192821000018974, 5.720084999999998"
69,GRENOBLE,38185,"Pont Marius Gontard",NC,20161003,20161003,,63,47,,,,101,78,88,86,87,118,110,650,760,55,93,63,,,,,,1011,,35,"45.19313300001898, 5.724042"
70,GRENOBLE,38185,"3 ter Quai Stéphane Jay",NC,20161003,20161003,,59,76,,,,183,135,194,95,136,132,135,1096,1231,135,1096,76,,,,,,1009,,36,"45.19318500001897, 5.726464999999999"
71,GRENOBLE,38185,"16 Grande Rue",NC,20151203,20151203,,141,243,,,,901,822,1063,1119,948,777,384,6425,6809,192,917,1119,,,,,,1001,,37,"45.19180200001898, 5.728426999999999"
72,GRENOBLE,38185,"12 Boulevard Gambetta",NC,20151203,20151203,,254,355,,,,467,411,453,489,533,368,609,3231,3840,304,461,533,,,,,,1005,,38,"45.189659000018985, 5.722283000000001"
140,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,10,14,0,0,0,0,0,0,0,0,0,24,0,24,5,0,14,"09h00 - 10h00",10,"08h00 - 09h00",,,P03B,"OPE 215",39,"45.053664000019374, 5.675294"
73,GRENOBLE,38185,"15 Cours Jean Jaurès",NC,20151203,20151203,,2107,1502,,,,1998,1694,2074,2337,2520,1891,3609,14462,18071,1804,2066,2520,,,,,,1006,,40,"45.18939300001898, 5.71951"
74,GRENOBLE,38185,"51 Avenue Alsace Lorraine",NC,20151203,20151203,,621,522,,,,765,647,702,768,1043,886,1143,5765,6908,571,823,1043,,,,,,1007,,41,"45.189698000018986, 5.718375"
75,GRENOBLE,38185,"99 Cours Berriat",NC,20161003,20161003,,404,331,,,,462,332,396,431,517,537,735,3255,3990,367,465,404,,,,,,1017,,42,"45.18843100001898, 5.712154999999999"
76,GRENOBLE,38185,"12 Boulevard Gambetta",NC,20161003,20161003,,285,199,,,,375,336,288,399,361,368,484,2491,2975,242,355,285,,,,,,1005,,43,"45.189659000018985, 5.722283000000001"
77,GRENOBLE,38185,"Carrefour Victor Hugo / Edouard Rey / Molière",NC,20161003,20161003,,639,560,,,,1191,1400,1665,1754,2114,1669,1199,11195,12394,600,1599,639,,,,,,1015,,44,"45.189645000018984, 5.724744000000002"
78,GRENOBLE,38185,"6 Boulevard Agutte Sembat",NC,20161003,20161003,,251,215,,,,286,390,377,551,486,450,466,2852,3318,233,407,251,,,,,,1004,,45,"45.18863600001899, 5.725863000000001"
79,GRENOBLE,38185,"2 Place de l'Etoile",NC,20161003,20161003,,574,634,,,,748,833,822,906,1013,789,1208,6096,7304,604,871,634,,,,,,1016,,46,"45.18786700001898, 5.728626000000002"
80,GRENOBLE,38185,"7 Rue de Bonne",NC,20161003,20161003,,209,247,,,,715,801,911,850,811,739,456,5523,5979,228,789,247,,,,,,1003,,47,"45.18967200001898, 5.726799"
81,GRENOBLE,38185,"16 Quai Perrière",NC,20161003,20161003,,129,77,,,,90,118,54,149,119,156,206,786,992,103,112,129,,,,,,1008,,48,"45.194357000018975, 5.727565999999999"
82,GRENOBLE,38185,"Pont Saint-Laurent",NC,20161003,20161003,,163,148,,,,207,161,218,168,221,240,311,1478,1789,155,211,163,,,,,,1012,,49,"45.194430000018976, 5.729133"
83,GRENOBLE,38185,"Pont de la Citadelle",NC,20161003,20161003,,89,69,,,,99,61,55,119,124,141,158,692,850,79,99,89,,,,,,1013,,50,"45.195110000018985, 5.7303359999999985"
84,GRENOBLE,38185,"16 Grande Rue",NC,20161003,20161003,,126,198,,,,747,895,741,935,1037,905,324,6109,6433,162,872,198,,,,,,1001,,51,"45.19180200001898, 5.728426999999999"
85,GRENOBLE,38185,"51 Avenue Alsace Lorraine",NC,20161003,20161003,,526,408,,,,572,532,544,825,933,828,934,4880,5814,467,697,526,,,,,,1007,,52,"45.189698000018986, 5.718375"
86,GRENOBLE,38185,"15 Cours Jean Jaurès",NC,20161003,20161003,,2080,1517,,,,1914,1280,1836,2309,3085,2054,3597,14379,17976,1798,2054,2080,,,,,,1006,,53,"45.18939300001898, 5.71951"
87,GRENOBLE,38185,"27 Cours Berriat",NC,20161003,20161003,,372,472,,,,617,564,600,740,899,828,844,4908,5752,422,701,472,,,,,,1014,,54,"45.18794800001897, 5.720505"
88,GRENOBLE,38185,"7 Rue de la Poste",NC,20161003,20161003,,112,161,,,,465,500,434,552,660,421,273,3399,3672,136,485,161,,,,,,1002,,55,"45.189602000018986, 5.727290000000001"
89,GRENOBLE,38185,"35 Rue Général Mangin",NC,20161003,20161003,,49,40,,,,27,23,16,27,36,27,89,186,275,44,27,49,,,,,,1018,,56,"45.17731800001902, 5.717975000000001"
90,GRENOBLE,38185,"107 Avenue Jean Perrot",NC,20161003,20161003,,49,37,,,,39,36,41,49,68,83,86,376,462,43,54,49,,,,,,1019,,57,"45.172335000019025, 5.739085000000001"
91,GRENOBLE,38185,"16 Quai Perrière",NC,20151203,20151203,,112,87,,,,140,188,180,129,182,120,199,1095,1294,99,156,188,,,,,,1008,,58,"45.194357000018975, 5.727565999999999"
92,GRENOBLE,38185,"3 ter Quai Stéphane Jay",NC,20151203,20151203,,77,79,,,,106,93,115,185,144,126,156,847,1003,78,121,185,,,,,,1009,,59,"45.19318500001897, 5.726464999999999"
93,GRENOBLE,38185,"Pont de la Porte de France",NC,20151203,20151203,,388,186,,,,268,267,254,244,217,157,574,1679,2253,287,239,388,,,,,,1010,,60,"45.192821000018974, 5.720084999999998"
94,GRENOBLE,38185,"Pont Marius Gontard",NC,20151203,20151203,,105,102,,,,116,158,122,124,161,147,207,956,1163,103,136,161,,,,,,1011,,61,"45.19313300001898, 5.724042"
95,GRENOBLE,38185,"Pont Saint-Laurent",NC,20151203,20151203,,146,181,,,,240,272,345,331,271,231,327,1928,2255,163,275,345,,,,,,1012,,62,"45.194430000018976, 5.729133"
96,GRENOBLE,38185,"Pont de la Citadelle",NC,20151203,20151203,,99,76,,,,100,110,109,106,155,184,175,882,1057,87,126,184,,,,,,1013,,63,"45.195110000018985, 5.7303359999999985"
97,GRENOBLE,38185,"27 Cours Berriat",NC,20151203,20151203,,397,467,,,,411,528,570,663,722,667,864,4149,5013,432,592,722,,,,,,1014,,64,"45.18794800001897, 5.720505"
98,GRENOBLE,38185,"Carrefour Victor Hugo / Edouard Rey / Molière",NC,20151203,20151203,,723,875,,,,2719,2938,3379,3606,3396,3565,1598,22516,24114,799,3216,3606,,,,,,1015,,65,"45.189645000018984, 5.724744000000002"
99,GRENOBLE,38185,"2 Place de l'Etoile",NC,20151203,20151203,,448,583,,,,935,980,1096,1128,1220,979,1031,7354,8385,515,1050,1220,,,,,,1016,,66,"45.18786700001898, 5.728626000000002"
100,GRENOBLE,38185,"99 Cours Berriat",NC,20151203,20151203,,364,332,,,,514,365,298,245,389,343,696,2669,3365,348,381,515,,,,,,1017,,67,"45.18843100001898, 5.712154999999999"
101,GRENOBLE,38185,"35 Rue Général Mangin",NC,20151203,20151203,,70,36,,,,43,82,85,62,60,20,106,412,518,53,58,85,,,,,,1018,,68,"45.17731800001902, 5.717975000000001"
141,Vif,38545,"Rue du Portail Rouge","Rue du Portail Rouge",20200702,20200702,0,10,6,0,0,0,0,0,0,0,0,0,16,0,16,3,0,10,"08h00 - 09h00",6,"09h00 - 10h00",,,P04,"OPE 215",69,"45.05314700001937, 5.673187999999999"
102,GRENOBLE,38185,"107 Avenue Jean Perrot",NC,20151203,20151203,,29,38,,,,65,73,123,118,103,111,67,658,725,33,94,123,,,,,,1019,,70,"45.172335000019025, 5.739085000000001"
129,Grenoble,38185,"Boulevard Jean Pain","Boulevard Jean Pain",20200528,20200528,30,57,28,36,38,41,33,27,41,61,67,80,189,350,539,38,50,80,"18h00 - 19h00",27,"14h00 - 15h00",,,2050,205,71,"45.1856954840976, 5.733256659769799"
130,Grenoble,38186,"Boulevard Jean Pain","Boulevard Jean Pain",20200528,20200528,3,21,19,23,20,27,18,34,13,18,35,15,86,160,246,17,23,35,"17h00 - 18h00",3,"07h00 - 08h00",,,2051,205,72,"45.185894955696526, 5.733129196240453"
131,Grenoble,38187,"Rue du Manege","Rue du Manege",20200528,20200528,18,34,40,46,67,40,44,30,47,43,43,64,205,311,516,41,44,67,"11h00 - 12h00",18,"07h00 - 08h00",,,2052,205,73,"45.18564688734533, 5.732135657514761"
132,Grenoble,38188,"Rue du Manege","Rue du Manege",20200528,20200528,34,55,87,88,82,97,79,94,126,129,134,136,346,795,1141,69,114,136,"18h00 - 19h00",34,"07h00 - 08h00",,,2053,205,74,"45.18570339438924, 5.731910050030578"
133,Grenoble,38189,"Boulevard Marechal Lyautey","Boulevard Marechal Lyautey",20200528,20200528,51,111,180,219,204,209,217,244,312,303,340,299,765,1924,2689,153,275,340,"17h00 - 18h00",51,"07h00 - 08h00",,,2054,205,75,"45.18556811323261, 5.730248406474935"
134,Grenoble,38190,"Boulevard Marechal Lyautey","Boulevard Marechal Lyautey",20200528,20200528,83,194,227,234,223,274,216,221,291,219,252,167,961,1640,2601,192,234,291,"15h00 - 16h00",83,"07h00 - 08h00",,,2055,205,76,"45.18573886163433, 5.730309816194038"
142,Vif,38545,"Rue du Portail Rouge","Rue du Portail Rouge",20200702,20200702,0,54,19,0,0,0,0,0,0,0,0,0,73,0,73,15,0,54,"08h00 - 09h00",19,"09h00 - 10h00",,,P05,"OPE 215",77,"45.053308000019385, 5.671189999999998"
143,Vif,38545,"Rue Champollion","Rue Champollion",20200702,20200702,0,27,56,0,0,0,0,0,0,0,0,0,83,0,83,17,0,56,"09h00 - 10h00",27,"08h00 - 09h00",,,P06A,"OPE 215",78,"45.05515900001939, 5.66933"
144,Vif,38545,"Rue Champollion","Rue Champollion",20200702,20200702,0,15,27,0,0,0,0,0,0,0,0,0,42,0,42,8,0,27,"09h00 - 10h00",15,"08h00 - 09h00",,,P06B,"OPE 215",79,"45.055160000019384, 5.669393999999998"
145,Vif,38545,"Place des 11 Otages","Place des 11 Otages",20200702,20200702,0,28,19,0,0,0,0,0,0,0,0,0,47,0,47,9,0,28,"08h00 - 09h00",19,"09h00 - 10h00",,,P07A,"OPE 215",80,"45.05500700001939, 5.669169"
146,Vif,38545,"Place des 11 Otages","Place des 11 Otages",20200702,20200702,0,29,49,0,0,0,0,0,0,0,0,0,78,0,78,16,0,49,"09h00 - 10h00",29,"08h00 - 09h00",,,P07B,"OPE 215",81,"45.05512000001938, 5.669175000000002"
