id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,e_7h_8h,e_8h_9h,e_9h_10h,e_10h_11h,e_11h_12h,e_12h_13h,e_13h_14h,e_14h_15h,e_15h_16h,e_16h_17h,e_17h_18h,e_18h_19h,e_tot_am,e_tot_pm,e_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
196,Fontaine,38169,"avenue aristide briand","avenue aristide briand",20210629,20210629,8,11,1,2,0,0,0,0,0,0,0,0,22,0,22,4,0,11,"08h00 - 09h00",0,"11h00 - 12h00","OPE 299-P03","OPE 299",32,"45.189100000019025, 5.698305999999999"
197,Fontaine,38169,"rue de la liberté","rue de la liberté",20210629,20210629,1,11,4,1,8,3,7,2,4,7,19,3,25,45,70,5,6,19,"17h00 - 18h00",1,"07h00 - 08h00","OPE 299-P02","OPE 299",33,"45.19117700001902, 5.697853"
198,Fontaine,38169,"avenue du vercors","avenue du vercors",20210629,20210629,1,2,1,1,5,2,2,0,4,1,4,3,10,16,26,2,2,5,"11h00 - 12h00",0,"14h00 - 15h00","OPE 299-P01","OPE 299",34,"45.192417000019, 5.697680999999999"
199,Saint-Pierre-de-Mésage,38445,"route de jouchy","route de jouchy",20210508,20210508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"07h00 - 08h00",0,"07h00 - 08h00","OPE 287-P02","OPE 287",35,"45.05113600001938, 5.773724"
200,Varces-Allières-et-Risset,38524,"chemin des plâtres","chemin des plâtres",20210508,20210508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"07h00 - 08h00",0,"07h00 - 08h00","OPE 287-P01","OPE 287",36,"45.099687000019244, 5.6986479999999995"
201,Claix,38111,"avenue du général de gaulle","avenue du général de gaulle",20210603,20210603,4,3,2,2,1,1,3,2,1,2,5,2,12,16,28,2,2,5,"17h00 - 18h00",1,"11h00 - 12h00","OPE 272-P04","OPE 272",37,"45.136544000019164, 5.712049999999998"
202,Claix,38111,d269,d269,20210603,20210603,2,3,2,2,1,10,3,1,5,3,7,3,10,32,42,2,5,10,"12h00 - 13h00",1,"11h00 - 12h00","OPE 272-P03","OPE 272",38,"45.13784300001913, 5.704629999999998"
203,Claix,38111,"cours saint-andré","cours saint-andré",20210603,20210603,3,2,2,2,1,2,5,5,1,5,4,7,10,29,39,2,4,7,"18h00 - 19h00",1,"11h00 - 12h00","OPE 272-P02","OPE 272",39,"45.13762400001914, 5.702066"
204,Claix,38111,"cours saint-andré","cours saint-andré",20210603,20210603,3,2,0,1,2,1,6,4,10,13,5,4,8,43,51,2,6,13,"16h00 - 17h00",0,"09h00 - 10h00","OPE 272-P01","OPE 272",40,"45.138615000019165, 5.702408999999999"
205,Grenoble,38185,"allée de l'ecole de vaucanson","allée de l'ecole de vaucanson",20210506,20210506,1,1,0,0,0,2,4,1,2,2,2,0,2,13,15,0,2,4,"13h00 - 14h00",0,"09h00 - 10h00","OPE 269-P03","OPE 269",41,"45.17226900001906, 5.711960999999999"
