mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
648,"45.1805862130346,5.73682220194339",3,"nouveau modèle",20060101000000
649,"45.1805792691537,5.73706240383333",2,"nouveau modèle",20060101000000
650,"45.1817907989289,5.74258490130702",5,"nouveau modèle",19990101000000
651,"45.1833624435039,5.7380457787487",3,"nouveau modèle",20070101000000
652,"45.1805980884004,5.73516729924486",3,"nouveau modèle",19900101000000
653,"45.1820537880937,5.74796713127104",2,"nouveau modèle",20030101000000
654,"45.1817594642973,5.74487769623093",2,"nouveau modèle",20010101000000
655,"45.1808085604231,5.74484363976674",4,"nouveau modèle",20000101000000
656,"45.180491237155,5.74519305242684",3,"nouveau modèle",20000101000000
657,"45.1795327003212,5.74515739800935",4,"nouveau modèle",19930101000000
658,"45.1789801465507,5.74555435808529",2,"nouveau modèle",19990101000000
659,"45.1788668804948,5.74487235121084",3,"nouveau modèle",20010101000000
660,"45.1800806246232,5.7419908238085",3,"nouveau modèle",19930101000000
661,"45.1802659985937,5.74187997148928",3,"nouveau modèle",19930101000000
662,"45.1794656671569,5.74195375402923",3,"nouveau modèle",19980101000000
663,"45.1796897156497,5.74259580416153",2,"nouveau modèle",19900101000000
664,"45.1772240844486,5.74283056569999",2,"nouveau modèle",19980101000000
665,"45.1773948225848,5.74322971167365",2,"nouveau modèle",20010101000000
666,"45.1750930319497,5.74434469910044",5,"nouveau modèle",20020101000000
667,"45.1749725144334,5.7444155502037",7,"nouveau modèle",20060101000000
668,"45.1792726402738,5.73982257381699",3,"nouveau modèle",20050101000000
669,"45.1783793384078,5.74156897263994",3,"nouveau modèle",20050101000000
670,"45.1781100948828,5.74088892336699",3,"nouveau modèle",19900101000000
671,"45.1782548116067,5.7407026775658",2,"nouveau modèle",19990101000000
672,"45.1750615310499,5.74105262447954",4,"nouveau modèle",20060101000000
673,"45.1746209232996,5.74163694352182",4,"nouveau modèle",20060101000000
674,"45.1714663900856,5.73965801762316",2,"nouveau modèle",20050101000000
675,"45.1713801194254,5.73974080660289",3,"nouveau modèle",20050101000000
676,"45.1714042006165,5.74012534052292",3,"nouveau modèle",20050101000000
677,"45.1709807435016,5.7402246383462",3,"nouveau modèle",20050101000000
678,"45.171005194557,5.7399064529175",3,"nouveau modèle",20050101000000
679,"45.1706281987904,5.74009291810446",2,"nouveau modèle",20050101000000
680,"45.1704911536002,5.73983485673126",2,"nouveau modèle",20020101000000
681,"45.1702490875984,5.74015996500578",2,"nouveau modèle",20020101000000
682,"45.1718714808435,5.74386547653483",4,"nouveau modèle",20020101000000
683,"45.1698660862446,5.74290519951296",6,"nouveau modèle",19900101000000
684,"45.1715093545213,5.74345604209768",6,"nouveau modèle",20020101000000
685,"45.1709447129447,5.74333270984589",4,"nouveau modèle",19900101000000
686,"45.1705244565891,5.74310146947321",3,"nouveau modèle",19900101000000
687,"45.170467787993,5.74431896438608",3,"nouveau modèle",19900101000000
