id,ogc_fid,uid_filaire,x,y,boucle,emplacement,orientation,type,fiabilite,orien_etiq,commentaire,tmja_2022_mois1,tmja_2022_mois2,tmja_2022_mois3,tmja_2022_mois4,tmja_2022_mois5,tmja_2022_mois6,tmja_2022_mois7,tmja_2022_mois8,tmja_2022_mois9,tmja_2022_mois10,tmja_2022_mois11,tmja_2022_mois12,tmja_2022_moistmja_2022,fid,geo_point_2d
1182,84,f50aca86-7ed2-425a-a8cd-4d0dfb66580e,1915402,4224665,1182,"Jean Pain",-320,"triple droit",Inconnue,44,"A valider",10199.717741935485,10870.6875,11185.935483870968,10541.549999999997,10446.604838709678,11592.97222222222,9366.943548387097,8304.290322580644,10597.166666666666,10339.556451612903,10509.083333333332,10239.887096774191,10349.5329338411,82,"45.18915951664012, 5.741685298473596"
1185,85,5208d151-8a13-4218-8315-851aef62c7d1,1915379,4224732,1185,"Rue du 19 mars 1962",146,"triple droit","Bonne fiabilite. Utilisable pour les comptages",303,"Validation par comparaison avec comptage ponctuel",6586.830645161292,7227.767857142857,7253.903225806452,6923.025000000001,6931.225806451613,8499.22222222222,6335.645161290321,5658.467741935485,6921.625000000001,6735.612903225807,6975.308333333334,6498.7016129032245,6878.944625789383,83,"45.18977087275379, 5.7414156408150525"
332,77,4de5277b-59f6-4135-a0a3-46efdf3ca2a4,1915653,4224443,332,"Rue Jules Flandrin",-315,"double droit large","Bonne fiabilite. Utilisable pour les comptages",45,"Validation par comparaison avec comptage ponctuel",1817.2177419354841,1987.9285714285706,2004.564516129032,1885.7749999999996,2083.064516129032,3449.8518518518517,1556.2822580645163,1594.032258064516,1595.0166666666673,1476.0000000000002,1558.8583333333331,1762.2903225806454,1897.573503015304,84,"45.18708761876618, 5.7447777041178085"
323,79,e252fc82-527d-414c-bec2-be0192ecd8a7,1915703,4224574,323,"Rue du 19 mars 1962",96,"double droit large","Bonne fiabilite. Utilisable pour les comptages",351,"Validation par comparaison avec comptage ponctuel",6763.74193548387,6993.36607142857,7221.266129032259,7574.583333333333,7681.83064516129,12807.749999999996,6826.717741935485,5980.483870967739,7691.924999999998,7478.491935483869,7721.641666666667,7271.887096774193,7667.807118855606,85,"45.188252486960366, 5.745474062139556"
324,80,259f2295-8743-40ea-a303-a28ee6c1ff96,1915736,4224578,324,"Rue du 19 mars 1962",276,"double droit large","Bonne fiabilite. Utilisable pour les comptages",354,"Validation par comparaison avec comptage ponctuel",7738.161290322582,8058.125,8203.927419354839,8123.183333333333,7916.50806451613,13143.555555555555,8082.427419354838,6900.032258064514,8147.35,8061.967741935485,7977.074999999999,7578.5241935483855,8327.569772998804,86,"45.188278591693, 5.74588856156927"
111,97,d7a23e95-1bdd-43fd-845b-269f20da2599,1915144,4224515,111,"J Pain",243,"triple droit","Inutilisable pour les comptages",37,"Différence avec ponctuel (-20%)",12522.725806451612,14053.732142857145,15116.31451612903,15973.991666666663,17344.74193548387,15004.305555555551,24829.846774193553,21592.16935483871,14264.316666666666,14132.362903225803,14361.975,14177.91129032258,16114.5328010326,87,"45.18789448752537, 5.738333940850425"
322,81,49b94587-3363-4443-a844-65cd551fd2f5,1915803,4224552,322,"Rue Jules Flandrin",93,"double droit large","Bonne fiabilite. Utilisable pour les comptages",,"Validation par comparaison avec comptage ponctuel",8086.814516129032,8366.526785714286,8331.798387096773,8138.416666666668,8103.862903225805,10633.97222222222,7406.016129032257,6938.274193548386,8332.308333333334,8090.685483870967,8388.875,7999.266129032257,8234.734729156,88,"45.18802546812208, 5.746735978744391"
823,55,685a9302-648e-4930-9394-2867dbb062e1,1915244,4222885,823,"Avenue des Jeux Olympiques",254,"double droit large","Inutilisable pour les comptages",18,"Différence avec ponctuel (-25%) / Observation terrain PC feux",582.782258064516,599.2053571428572,695.5806451612905,609.6166666666667,621.9516129032261,6018.092592592592,582.8709677419355,475.54032258064507,632.5999999999999,637.5403225806451,1315.4666666666665,620.2338709677418,1115.9567735890655,89,"45.173200394274104, 5.738909570778202"
281,75,ba2af557-c7dd-4189-a8fc-a808f50a8ddc,1915477,4224436,281,"Avenue de Valmy",285,"simple droit","Inutilisable pour les comptages",342,"Observation terrain PC feux",1821.7177419354837,1915.875,1952.7096774193542,2126.808333333333,1979.532258064516,2274.3888888888887,1774.0483870967744,1590.6532258064515,2040.6166666666666,2009.5161290322576,2079.4833333333327,2061.717741935484,1968.9222819593786,90,"45.18707806550814, 5.742533358064092"
283,76,f4cf5afe-01ba-49a8-ba51-06fb6824a253,1915435,4224477,283,"Avenue de Valmy",160,"simple droit","Inutilisable pour les comptages",298,"Observation terrain PC feux",3924.411290322579,4105.419642857142,3905.2661290322576,3253.1583333333338,3145.459677419354,3745.0833333333335,2621.1693548387093,2368.556451612904,3140.874999999999,3026.1451612903224,3120.9833333333336,3014.427419354838,3280.9129272273426,91,"45.18745849503861, 5.742022624951008"
