geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,type,commune,epci,nb_pmr,nb_velo,nb_covoit,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
"45.137426,5.702209",PONT-DE-CLAIX L'ÉTOILE,38317,"94 cours Saint-André, 38800, Le-Pont-de-Claix",tous,,51,51,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Le Pont-de-Claix,LaMetro,,,,,,,,,
"45.125234,5.699675",PONT-DE-CLAIX - GARE,38317,"Avenue de la Gare, 38800, Le-Pont-de-Claix",tous,1.0,21,21,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Le Pont-de-Claix,LaMetro,0.0,0.0,,,,,,,
"45.381028,5.477775",RIVES - BIEVRE DAUPHINE,38337,"Brièvre, 38140, Rives",tous,1.0,300,300,210,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Rives,PaysVoironnais,,,,,,,,,
"45.235088,5.671546",ST-EGREVE - GARE,38382,"Rue des Bonnais, 38120, Saint-Egrève",tous,,80,80,330,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Saint-Égrève,LaMetro,2.0,,,,,,,,
"45.242759,5.669222",ST-EGREVE - KARBEN,38382,"15 route de Lyon, 38120, Saint-Egrève",tous,,98,98,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Saint-Égrève,LaMetro,2.0,,,,,,,,
"45.23714,5.660806",ST-EGREVE - SAN MARINO-BARRAGE,38382,"San Marino barrage, 38120, Saint-Egrève",tous,,88,88,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Saint-Égrève,LaMetro,2.0,8.0,,,,,,0.0,
"45.1437,5.829713",URIAGE GARE,38422,"Route de Gières, 38410, Saint-Martin-d’Uriage",tous,1.0,64,0,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Saint-Martin-d'Uriage,LeGresivaudan,,,,,,,,,
"45.258126,5.850978","ST-NAZAIRE-LES-EYMES, LES RATZ",38431,"Route de Chambéry, 38330, Saint-Nazaire-les-Eymes",tous,1.0,12,0,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Saint-Nazaire-les-Eymes,LeGresivaudan,,,,,,,,,
"45.213398,5.660971",SASSENAGE - JEAN PREVOST,38474,"Place Jean Prévost, 38360, Les Côtes-de-Sassenage",tous,,80,80,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Sassenage,LaMetro,2.0,,,,,,,,
"45.22102100284127,5.659665123317892",SASSENAGE - ENGENIÈRES,38474,"Rue des Engenières, 38360, Sassenage",tous,1.0,40,40,235,30150323100039,gratuit,,,,,,,enclos_en_surface,parking,Sassenage,LaMetro,1.0,0.0,,,,,,,
