id,geo_point_2d,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,url_arrete,url_site,geo_shape
TRONROUT0000000070197221,"45.18207868,5.77752459",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77752459,45.18207868],[5.77758843,45.18208159],[5.77763254,45.18209762]]}"
TRONROUT0000000008036066,"45.18312409,5.77917802",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77917802,45.18312409],[5.77930265,45.18314532],[5.77942686,45.18318367],[5.77956923,45.183254],[5.77969859,45.18334448],[5.7798253,45.18345845],[5.77997527,45.18357905]]}"
TRONROUT0000000008039358,"45.18138454,5.77982011",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77982011,45.18138454],[5.77990968,45.18144357],[5.78000039,45.18149988],[5.78012045,45.18155725],[5.78024749,45.18157571],[5.78046197,45.18158478]]}"
TRONROUT0000000008039265,"45.18213727,5.77770458",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77770458,45.18213727],[5.77788917,45.18213447],[5.77850327,45.18200747],[5.77854604,45.18199649],[5.77857495,45.18198856],[5.7786404,45.18197252],[5.7787423,45.18194656],[5.77876747,45.18194052],[5.77877502,45.18193853],[5.77888696,45.18190962],[5.77894364,45.1818965]]}"
TRONROUT0000000008039328,"45.18175707,5.77962209",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77962209,45.18175707],[5.77958687,45.18176605],[5.77894364,45.1818965]]}"
TRONROUT0000000008039332,"45.1818708,5.77954112",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77954112,45.1818708],[5.7793482,45.18191075],[5.77901683,45.18198477],[5.77896265,45.18199693],[5.77893116,45.18200402],[5.77885689,45.18202209],[5.7788493,45.18202318],[5.77873968,45.18204753],[5.77872204,45.18205157],[5.77862001,45.18207484],[5.77858601,45.18208289],[5.77847644,45.18210814]]}"
TRONROUT0000000008039344,"45.18152421,5.78209727",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.78209727,45.18152421],[5.78156921,45.1815626],[5.78138871,45.1815707]]}"
TRONROUT0000000008039345,"45.18168832,5.7798862",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.7798862,45.18168832],[5.77962209,45.18175707]]}"
TRONROUT0000000008039368,"45.18147658,5.78122478",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.78122478,45.18147658],[5.78127286,45.18146998],[5.78129817,45.18146664],[5.7813717,45.1814594]]}"
TRONROUT0000000008039369,"45.1814594,5.7813717",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.7813717,45.1814594],[5.7815872,45.18143782]]}"
