ogc_fid,anne_maj,type,LaMetro,longueur
2380,2022.0,chronovelo,True,442.0301351938955
2337,2019.0,chronovelo,True,370.80454792006066
2339,2016.0,chronovelo,True,595.591871182143
2512,2020.0,chronovelo,True,465.56923121670036
2489,2020.0,chronovelo,True,106.28955313673525
2458,2016.0,chronovelo,True,132.52988907674668
2459,2016.0,chronovelo,True,552.1811866449111
2461,2019.0,chronovelo,True,399.4812011188022
1632,2022.0,chronovelo,True,343.8059572030306
2814,2022.0,chronovelo,True,970.2244004080984
2817,2022.0,chronovelo,True,1240.0492863448821
2815,2022.0,chronovelo,True,25.154048594161424
2816,2022.0,chronovelo,True,177.56427384622526
1624,2016.0,chronovelo,True,188.4855000529648
1790,2016.0,voieverte,True,4856.260930378339
1514,2018.0,voieverte,True,8129.397279267774
1511,2016.0,voieverte,True,121.53977336408063
1515,2018.0,voieverte,True,5023.3514272956
1611,2018.0,voieverte,True,754.9233934248193
2281,2016.0,voieverte,True,1841.5218894705843
1050,2018.0,voieverte,True,3187.954488601921
1573,2018.0,voieverte,True,374.17969431670116
1576,2018.0,voieverte,True,3499.6454919109665
1757,2016.0,voieverte,True,1230.2373588677033
1728,2016.0,voieverte,True,682.9304168870668
1756,2016.0,voieverte,True,2163.3962214856297
1762,2018.0,voieverte,True,1703.1406013758804
1765,2016.0,voieverte,True,1924.640610196152
1707,2018.0,voieverte,True,350.5278443907549
1665,,voieverte,True,515.3929354130163
1678,,voieverte,True,4206.3715235141035
1912,2016.0,voieverte,True,75.44881389340912
1913,2016.0,voieverte,True,300.858617247955
1865,2016.0,voieverte,True,374.67626661969825
1866,2016.0,voieverte,True,152.66966762885977
1856,2016.0,voieverte,True,127.41501959782437
2024,2016.0,voieverte,True,532.1854329928286
1862,2016.0,voieverte,True,910.7366926120036
1848,2016.0,voieverte,True,680.136774712981
1849,2016.0,voieverte,True,893.8750962384138
1855,2016.0,voieverte,True,313.43271388368566
1847,2016.0,voieverte,True,521.7351608337707
1839,2016.0,voieverte,True,1386.714527540131
1827,2016.0,voieverte,True,442.4984052025893
1829,2016.0,voieverte,True,404.16568347126673
2072,2016.0,voieverte,True,316.53544576335975
2126,2016.0,voieverte,True,221.35844004645864
1819,2016.0,voieverte,True,391.05843929285186
1794,2018.0,voieverte,True,130.6648878629671
2038,2016.0,voieverte,True,445.47648099164667
1930,2018.0,voieverte,True,112.7674292378901
1931,2018.0,voieverte,True,182.79154452880954
1932,2018.0,voieverte,True,403.148025999008
1933,2018.0,voieverte,True,628.8265592046421
2621,2018.0,voieverte,True,1346.7890123944094
2622,2016.0,voieverte,True,225.78290334560967
2623,2016.0,voieverte,True,157.91545706864753
2608,2020.0,voieverte,True,149.7291068621647
2612,2016.0,voieverte,True,16.440212161803935
2601,2018.0,voieverte,True,119.71012634562106
2606,2020.0,voieverte,True,97.63593864108321
2598,2018.0,voieverte,True,211.85038143407974
2599,2018.0,voieverte,True,175.99364928135725
2585,2016.0,voieverte,True,576.7184031558595
2562,2018.0,voieverte,True,118.54918093176425
2127,2016.0,voieverte,True,1015.9692037142324
2298,2016.0,voieverte,True,2382.2225827225266
2299,2016.0,voieverte,True,1680.8847543363838
2280,2016.0,voieverte,True,1463.1963463216382
2282,2016.0,voieverte,True,1454.645861043508
2272,2018.0,voieverte,True,228.12418075559026
2277,2016.0,voieverte,True,356.96677310904863
2267,2016.0,voieverte,True,2508.3861905050344
2243,2018.0,voieverte,True,204.59032894153836
2228,2016.0,voieverte,True,216.11168027724696
2387,2018.0,voieverte,True,113.61572386604249
2390,2018.0,voieverte,True,299.65579456333194
2347,2016.0,voieverte,True,226.3665747561028
1662,2016.0,voieverte,True,500.5271833167505
1663,2016.0,voieverte,True,348.62731307181673
1547,2018.0,veloamenage,True,364.9754459110707
1536,2018.0,veloamenage,True,21.379526983347304
1537,2018.0,veloamenage,True,23.64118432284281
1538,2018.0,veloamenage,True,36.40094323223045
1539,2018.0,veloamenage,True,37.81004130562372
1540,2018.0,veloamenage,True,22.49324453531532
1541,2018.0,veloamenage,True,23.077910784852634
1542,2018.0,veloamenage,True,635.7710071580723
1626,2019.0,veloamenage,True,164.8582192638309
1928,2016.0,veloamenage,True,358.79757538261197
1973,2016.0,veloamenage,True,140.37789635101305
2443,2016.0,veloamenage,True,396.3640020536837
2444,2016.0,veloamenage,True,264.2541571633269
2447,2016.0,veloamenage,True,739.3456585126404
2531,2016.0,veloamenage,True,107.09541346419377
2535,2016.0,veloamenage,True,268.6858672282462
1499,2016.0,veloamenage,True,118.76323517560867
2541,2016.0,veloamenage,True,123.71067575247362
2552,2016.0,veloamenage,True,130.7136628401341
2822,2022.0,veloamenage,True,91.7313300296693
2214,2016.0,veloamenage,True,503.1789885008034
2251,2016.0,veloamenage,True,612.1034688341184
2470,2016.0,veloamenage,True,1768.852223773842
2561,2018.0,veloamenage,True,329.7851247413427
1781,2016.0,veloamenage,True,1054.9305816130786
2177,2016.0,veloamenage,True,1258.793356465917
2824,2022.0,veloamenage,True,630.8688020281419
2825,,veloamenage,True,354.5295981594562
2560,2018.0,veloamenage,True,1066.9344449687396
1512,2016.0,veloamenage,True,430.87533430781235
1513,2016.0,veloamenage,True,139.08358694389042
1509,2018.0,veloamenage,True,691.7036312479235
2178,2016.0,veloamenage,True,303.2607667803375
