id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
22,Grenoble,38185,Boulevard Agutte Sembat,Boulevard Agutte Sembat,20190926,20190926,146.0,304.0,213.0,195.0,283.0,347.0,350.0,405.0,370.0,483.0,635.0,527.0,1141.0,3117.0,4258.0,228.0,445.0,635.0,17h00 - 18h00,146.0,07h00 - 08h00,1022,160,29,"45.186512405018284, 5.728224443610816"
64,GRENOBLE,38185,Pont Saint-Laurent,NC,20170328,20170328,,118.0,111.0,,,,258.0,238.0,302.0,350.0,337.0,385.0,547.0,1928.0,2128.0,136.0,304.0,385.0,,,,,,30,"45.194430000018976, 5.729133"
65,GRENOBLE,38185,7 Rue de la Poste,NC,20151203,20151203,,102.0,211.0,,,,461.0,462.0,565.0,511.0,304.0,195.0,313.0,2971.0,3284.0,156.0,424.0,565.0,,,,1002,,31,"45.189602000018986, 5.727290000000001"
66,GRENOBLE,38185,7 Rue de Bonne,NC,20151203,20151203,,195.0,209.0,,,,651.0,505.0,784.0,633.0,539.0,479.0,404.0,4010.0,4414.0,202.0,572.0,784.0,,,,1003,,32,"45.18967200001898, 5.726799"
67,GRENOBLE,38185,6 Boulevard Agutte Sembat,NC,20151203,20151203,,326.0,334.0,,,,678.0,725.0,742.0,964.0,874.0,805.0,660.0,5545.0,6205.0,330.0,792.0,964.0,,,,1004,,33,"45.18863600001899, 5.725863000000001"
68,GRENOBLE,38185,Pont de la Porte de France,NC,20161003,20161003,,218.0,118.0,,,,163.0,162.0,157.0,216.0,198.0,201.0,336.0,1257.0,1593.0,168.0,180.0,218.0,,,,1010,,34,"45.192821000018974, 5.720084999999998"
69,GRENOBLE,38185,Pont Marius Gontard,NC,20161003,20161003,,63.0,47.0,,,,101.0,78.0,88.0,86.0,87.0,118.0,110.0,650.0,760.0,55.0,93.0,63.0,,,,1011,,35,"45.19313300001898, 5.724042"
70,GRENOBLE,38185,3 ter Quai Stéphane Jay,NC,20161003,20161003,,59.0,76.0,,,,183.0,135.0,194.0,95.0,136.0,132.0,135.0,1096.0,1231.0,135.0,1096.0,76.0,,,,1009,,36,"45.19318500001897, 5.726464999999999"
71,GRENOBLE,38185,16 Grande Rue,NC,20151203,20151203,,141.0,243.0,,,,901.0,822.0,1063.0,1119.0,948.0,777.0,384.0,6425.0,6809.0,192.0,917.0,1119.0,,,,1001,,37,"45.19180200001898, 5.728426999999999"
72,GRENOBLE,38185,12 Boulevard Gambetta,NC,20151203,20151203,,254.0,355.0,,,,467.0,411.0,453.0,489.0,533.0,368.0,609.0,3231.0,3840.0,304.0,461.0,533.0,,,,1005,,38,"45.189659000018985, 5.722283000000001"
140,Vif,38545,Avenue de Rivalta Di Torino,Avenue de Rivalta Di Torino,20200702,20200702,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,5.0,0.0,14.0,09h00 - 10h00,10.0,08h00 - 09h00,P03B,OPE 215,39,"45.053664000019374, 5.675294"
73,GRENOBLE,38185,15 Cours Jean Jaurès,NC,20151203,20151203,,2107.0,1502.0,,,,1998.0,1694.0,2074.0,2337.0,2520.0,1891.0,3609.0,14462.0,18071.0,1804.0,2066.0,2520.0,,,,1006,,40,"45.18939300001898, 5.71951"
74,GRENOBLE,38185,51 Avenue Alsace Lorraine,NC,20151203,20151203,,621.0,522.0,,,,765.0,647.0,702.0,768.0,1043.0,886.0,1143.0,5765.0,6908.0,571.0,823.0,1043.0,,,,1007,,41,"45.189698000018986, 5.718375"
75,GRENOBLE,38185,99 Cours Berriat,NC,20161003,20161003,,404.0,331.0,,,,462.0,332.0,396.0,431.0,517.0,537.0,735.0,3255.0,3990.0,367.0,465.0,404.0,,,,1017,,42,"45.18843100001898, 5.712154999999999"
76,GRENOBLE,38185,12 Boulevard Gambetta,NC,20161003,20161003,,285.0,199.0,,,,375.0,336.0,288.0,399.0,361.0,368.0,484.0,2491.0,2975.0,242.0,355.0,285.0,,,,1005,,43,"45.189659000018985, 5.722283000000001"
77,GRENOBLE,38185,Carrefour Victor Hugo / Edouard Rey / Molière,NC,20161003,20161003,,639.0,560.0,,,,1191.0,1400.0,1665.0,1754.0,2114.0,1669.0,1199.0,11195.0,12394.0,600.0,1599.0,639.0,,,,1015,,44,"45.189645000018984, 5.724744000000002"
78,GRENOBLE,38185,6 Boulevard Agutte Sembat,NC,20161003,20161003,,251.0,215.0,,,,286.0,390.0,377.0,551.0,486.0,450.0,466.0,2852.0,3318.0,233.0,407.0,251.0,,,,1004,,45,"45.18863600001899, 5.725863000000001"
79,GRENOBLE,38185,2 Place de l'Etoile,NC,20161003,20161003,,574.0,634.0,,,,748.0,833.0,822.0,906.0,1013.0,789.0,1208.0,6096.0,7304.0,604.0,871.0,634.0,,,,1016,,46,"45.18786700001898, 5.728626000000002"
80,GRENOBLE,38185,7 Rue de Bonne,NC,20161003,20161003,,209.0,247.0,,,,715.0,801.0,911.0,850.0,811.0,739.0,456.0,5523.0,5979.0,228.0,789.0,247.0,,,,1003,,47,"45.18967200001898, 5.726799"
81,GRENOBLE,38185,16 Quai Perrière,NC,20161003,20161003,,129.0,77.0,,,,90.0,118.0,54.0,149.0,119.0,156.0,206.0,786.0,992.0,103.0,112.0,129.0,,,,1008,,48,"45.194357000018975, 5.727565999999999"
82,GRENOBLE,38185,Pont Saint-Laurent,NC,20161003,20161003,,163.0,148.0,,,,207.0,161.0,218.0,168.0,221.0,240.0,311.0,1478.0,1789.0,155.0,211.0,163.0,,,,1012,,49,"45.194430000018976, 5.729133"
83,GRENOBLE,38185,Pont de la Citadelle,NC,20161003,20161003,,89.0,69.0,,,,99.0,61.0,55.0,119.0,124.0,141.0,158.0,692.0,850.0,79.0,99.0,89.0,,,,1013,,50,"45.195110000018985, 5.7303359999999985"
84,GRENOBLE,38185,16 Grande Rue,NC,20161003,20161003,,126.0,198.0,,,,747.0,895.0,741.0,935.0,1037.0,905.0,324.0,6109.0,6433.0,162.0,872.0,198.0,,,,1001,,51,"45.19180200001898, 5.728426999999999"
85,GRENOBLE,38185,51 Avenue Alsace Lorraine,NC,20161003,20161003,,526.0,408.0,,,,572.0,532.0,544.0,825.0,933.0,828.0,934.0,4880.0,5814.0,467.0,697.0,526.0,,,,1007,,52,"45.189698000018986, 5.718375"
86,GRENOBLE,38185,15 Cours Jean Jaurès,NC,20161003,20161003,,2080.0,1517.0,,,,1914.0,1280.0,1836.0,2309.0,3085.0,2054.0,3597.0,14379.0,17976.0,1798.0,2054.0,2080.0,,,,1006,,53,"45.18939300001898, 5.71951"
87,GRENOBLE,38185,27 Cours Berriat,NC,20161003,20161003,,372.0,472.0,,,,617.0,564.0,600.0,740.0,899.0,828.0,844.0,4908.0,5752.0,422.0,701.0,472.0,,,,1014,,54,"45.18794800001897, 5.720505"
88,GRENOBLE,38185,7 Rue de la Poste,NC,20161003,20161003,,112.0,161.0,,,,465.0,500.0,434.0,552.0,660.0,421.0,273.0,3399.0,3672.0,136.0,485.0,161.0,,,,1002,,55,"45.189602000018986, 5.727290000000001"
89,GRENOBLE,38185,35 Rue Général Mangin,NC,20161003,20161003,,49.0,40.0,,,,27.0,23.0,16.0,27.0,36.0,27.0,89.0,186.0,275.0,44.0,27.0,49.0,,,,1018,,56,"45.17731800001902, 5.717975000000001"
90,GRENOBLE,38185,107 Avenue Jean Perrot,NC,20161003,20161003,,49.0,37.0,,,,39.0,36.0,41.0,49.0,68.0,83.0,86.0,376.0,462.0,43.0,54.0,49.0,,,,1019,,57,"45.172335000019025, 5.739085000000001"
91,GRENOBLE,38185,16 Quai Perrière,NC,20151203,20151203,,112.0,87.0,,,,140.0,188.0,180.0,129.0,182.0,120.0,199.0,1095.0,1294.0,99.0,156.0,188.0,,,,1008,,58,"45.194357000018975, 5.727565999999999"
92,GRENOBLE,38185,3 ter Quai Stéphane Jay,NC,20151203,20151203,,77.0,79.0,,,,106.0,93.0,115.0,185.0,144.0,126.0,156.0,847.0,1003.0,78.0,121.0,185.0,,,,1009,,59,"45.19318500001897, 5.726464999999999"
93,GRENOBLE,38185,Pont de la Porte de France,NC,20151203,20151203,,388.0,186.0,,,,268.0,267.0,254.0,244.0,217.0,157.0,574.0,1679.0,2253.0,287.0,239.0,388.0,,,,1010,,60,"45.192821000018974, 5.720084999999998"
94,GRENOBLE,38185,Pont Marius Gontard,NC,20151203,20151203,,105.0,102.0,,,,116.0,158.0,122.0,124.0,161.0,147.0,207.0,956.0,1163.0,103.0,136.0,161.0,,,,1011,,61,"45.19313300001898, 5.724042"
95,GRENOBLE,38185,Pont Saint-Laurent,NC,20151203,20151203,,146.0,181.0,,,,240.0,272.0,345.0,331.0,271.0,231.0,327.0,1928.0,2255.0,163.0,275.0,345.0,,,,1012,,62,"45.194430000018976, 5.729133"
96,GRENOBLE,38185,Pont de la Citadelle,NC,20151203,20151203,,99.0,76.0,,,,100.0,110.0,109.0,106.0,155.0,184.0,175.0,882.0,1057.0,87.0,126.0,184.0,,,,1013,,63,"45.195110000018985, 5.7303359999999985"
97,GRENOBLE,38185,27 Cours Berriat,NC,20151203,20151203,,397.0,467.0,,,,411.0,528.0,570.0,663.0,722.0,667.0,864.0,4149.0,5013.0,432.0,592.0,722.0,,,,1014,,64,"45.18794800001897, 5.720505"
98,GRENOBLE,38185,Carrefour Victor Hugo / Edouard Rey / Molière,NC,20151203,20151203,,723.0,875.0,,,,2719.0,2938.0,3379.0,3606.0,3396.0,3565.0,1598.0,22516.0,24114.0,799.0,3216.0,3606.0,,,,1015,,65,"45.189645000018984, 5.724744000000002"
99,GRENOBLE,38185,2 Place de l'Etoile,NC,20151203,20151203,,448.0,583.0,,,,935.0,980.0,1096.0,1128.0,1220.0,979.0,1031.0,7354.0,8385.0,515.0,1050.0,1220.0,,,,1016,,66,"45.18786700001898, 5.728626000000002"
100,GRENOBLE,38185,99 Cours Berriat,NC,20151203,20151203,,364.0,332.0,,,,514.0,365.0,298.0,245.0,389.0,343.0,696.0,2669.0,3365.0,348.0,381.0,515.0,,,,1017,,67,"45.18843100001898, 5.712154999999999"
101,GRENOBLE,38185,35 Rue Général Mangin,NC,20151203,20151203,,70.0,36.0,,,,43.0,82.0,85.0,62.0,60.0,20.0,106.0,412.0,518.0,53.0,58.0,85.0,,,,1018,,68,"45.17731800001902, 5.717975000000001"
141,Vif,38545,Rue du Portail Rouge,Rue du Portail Rouge,20200702,20200702,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,3.0,0.0,10.0,08h00 - 09h00,6.0,09h00 - 10h00,P04,OPE 215,69,"45.05314700001937, 5.673187999999999"
102,GRENOBLE,38185,107 Avenue Jean Perrot,NC,20151203,20151203,,29.0,38.0,,,,65.0,73.0,123.0,118.0,103.0,111.0,67.0,658.0,725.0,33.0,94.0,123.0,,,,1019,,70,"45.172335000019025, 5.739085000000001"
129,Grenoble,38185,Boulevard Jean Pain,Boulevard Jean Pain,20200528,20200528,30.0,57.0,28.0,36.0,38.0,41.0,33.0,27.0,41.0,61.0,67.0,80.0,189.0,350.0,539.0,38.0,50.0,80.0,18h00 - 19h00,27.0,14h00 - 15h00,2050,205,71,"45.1856954840976, 5.733256659769799"
130,Grenoble,38186,Boulevard Jean Pain,Boulevard Jean Pain,20200528,20200528,3.0,21.0,19.0,23.0,20.0,27.0,18.0,34.0,13.0,18.0,35.0,15.0,86.0,160.0,246.0,17.0,23.0,35.0,17h00 - 18h00,3.0,07h00 - 08h00,2051,205,72,"45.185894955696526, 5.733129196240453"
131,Grenoble,38187,Rue du Manege,Rue du Manege,20200528,20200528,18.0,34.0,40.0,46.0,67.0,40.0,44.0,30.0,47.0,43.0,43.0,64.0,205.0,311.0,516.0,41.0,44.0,67.0,11h00 - 12h00,18.0,07h00 - 08h00,2052,205,73,"45.18564688734533, 5.732135657514761"
132,Grenoble,38188,Rue du Manege,Rue du Manege,20200528,20200528,34.0,55.0,87.0,88.0,82.0,97.0,79.0,94.0,126.0,129.0,134.0,136.0,346.0,795.0,1141.0,69.0,114.0,136.0,18h00 - 19h00,34.0,07h00 - 08h00,2053,205,74,"45.18570339438924, 5.731910050030578"
133,Grenoble,38189,Boulevard Marechal Lyautey,Boulevard Marechal Lyautey,20200528,20200528,51.0,111.0,180.0,219.0,204.0,209.0,217.0,244.0,312.0,303.0,340.0,299.0,765.0,1924.0,2689.0,153.0,275.0,340.0,17h00 - 18h00,51.0,07h00 - 08h00,2054,205,75,"45.18556811323261, 5.730248406474935"
134,Grenoble,38190,Boulevard Marechal Lyautey,Boulevard Marechal Lyautey,20200528,20200528,83.0,194.0,227.0,234.0,223.0,274.0,216.0,221.0,291.0,219.0,252.0,167.0,961.0,1640.0,2601.0,192.0,234.0,291.0,15h00 - 16h00,83.0,07h00 - 08h00,2055,205,76,"45.18573886163433, 5.730309816194038"
142,Vif,38545,Rue du Portail Rouge,Rue du Portail Rouge,20200702,20200702,0.0,54.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,73.0,15.0,0.0,54.0,08h00 - 09h00,19.0,09h00 - 10h00,P05,OPE 215,77,"45.053308000019385, 5.671189999999998"
143,Vif,38545,Rue Champollion,Rue Champollion,20200702,20200702,0.0,27.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,83.0,17.0,0.0,56.0,09h00 - 10h00,27.0,08h00 - 09h00,P06A,OPE 215,78,"45.05515900001939, 5.66933"
144,Vif,38545,Rue Champollion,Rue Champollion,20200702,20200702,0.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,8.0,0.0,27.0,09h00 - 10h00,15.0,08h00 - 09h00,P06B,OPE 215,79,"45.055160000019384, 5.669393999999998"
145,Vif,38545,Place des 11 Otages,Place des 11 Otages,20200702,20200702,0.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,9.0,0.0,28.0,08h00 - 09h00,19.0,09h00 - 10h00,P07A,OPE 215,80,"45.05500700001939, 5.669169"
146,Vif,38545,Place des 11 Otages,Place des 11 Otages,20200702,20200702,0.0,29.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,16.0,0.0,49.0,09h00 - 10h00,29.0,08h00 - 09h00,P07B,OPE 215,81,"45.05512000001938, 5.669175000000002"
147,Grenoble,38185,Grande Rue,Grande Rue,20200929,20200929,179.0,169.0,259.0,350.0,541.0,842.0,768.0,884.0,904.0,1136.0,1225.0,1096.0,1498.0,6855.0,8353.0,300.0,979.0,1225.0,17h00 - 18h00,169.0,08h00 - 09h00,1001,OPE 221,82,"45.191802000019, 5.728427"
148,Grenoble,38185,Rue de la Poste,Rue de la Poste,20200929,20200929,73.0,115.0,113.0,293.0,325.0,372.0,374.0,394.0,431.0,516.0,535.0,444.0,919.0,3066.0,3985.0,184.0,438.0,535.0,17h00 - 18h00,73.0,07h00 - 08h00,1002,OPE 221,83,"45.18960200001899, 5.727289999999998"
149,Grenoble,38185,Rue de Bonne,Rue de Bonne,20200929,20200929,147.0,209.0,281.0,523.0,578.0,652.0,674.0,666.0,839.0,896.0,956.0,775.0,1738.0,5458.0,7196.0,348.0,780.0,956.0,17h00 - 18h00,147.0,07h00 - 08h00,1003,OPE 221,84,"45.18967200001901, 5.726799000000001"
150,Grenoble,38185,Boulevard Agutte Sembat,Boulevard Agutte Sembat,20200929,20200929,146.0,236.0,230.0,252.0,303.0,382.0,313.0,247.0,241.0,291.0,394.0,450.0,1167.0,2318.0,3485.0,233.0,331.0,450.0,18h00 - 19h00,146.0,07h00 - 08h00,1004,OPE 221,85,"45.188636000019, 5.725862999999999"
