id,ogc_fid,x,y,boucle,orientation,type,fiabilite,orien_etiq,commentaire,tmja_2022_mois1,tmja_2022_mois2,tmja_2022_mois3,tmja_2022_mois4,tmja_2022_mois5,tmja_2022_mois6,tmja_2022_mois7,tmja_2022_mois8,tmja_2022_mois9,tmja_2022_mois10,tmja_2022_mois11,tmja_2022_mois12,tmja_2022_moistmja_2022,fid,geo_point_2d
121,63,1914609,4223836,121,88,triple droit,Inconnue,,A valider,8612.427419354839,8930.866071428572,9063.943548387097,8887.9,8255.806451612903,10566.98148148148,7545.766129032258,6972.83064516129,8727.008333333333,8599.40322580645,8837.25,8259.879032258064,8605.005194821357,60,"45.1819487574245, 5.731234650618669"
122,64,1914634,4223856,122,176,double droit etroit,Inconnue,273.0,A valider,4423.201612903225,4442.428571428572,4517.112903225806,4317.166666666666,4308.927419354838,4353.972222222221,3798.362903225807,3581.580645161291,4010.6,4054.0887096774186,4340.041666666667,4380.927419354839,4210.700894990612,61,"45.18211621384875, 5.731564932061154"
123,65,1914669,4223844,123,266,simple droit,Inconnue,,A valider,1249.298387096774,1309.1874999999998,1327.314516129032,1294.4083333333333,5127.75806451613,3037.2222222222217,63.516129032258064,445.3387096774194,1132.9583333333337,1273.7338709677415,1348.808333333333,1209.508064516129,1568.2543720131423,62,"45.18200153955095, 5.732002965406112"
1032,161,1912476,4224728,1032,-138,simple droit,Inconnue,45.0,A valider,517.3548387096774,765.1607142857142,912.201612903226,968.1749999999998,458.1612903225806,772.759259259259,348.92741935483866,397.0564516129033,490.51666666666665,904.6290322580644,918.6916666666664,833.2822580645164,690.5763508420094,63,"45.190616402351594, 5.704495422165104"
153,68,1914931,4223702,153,268,simple droit,Inutilisable pour les comptages,,Inapte au comptage,4.564516129032258,0.0,8.580645161290322,1.9416666666666669,1.0725806451612905,903.9814814814816,6.975806451612904,5.903225806451612,3.041666666666667,5.096774193548387,13.591666666666669,5.362903225806452,80.00941109119873,64,"45.18064553794745, 5.7352713669869795"
152,69,1914890,4223698,152,88,double droit etroit,Inutilisable pour les comptages,,Inapte au comptage,9.129032258064516,0.0,17.193548387096772,3.8833333333333337,2.1451612903225805,1807.9814814814813,13.95967741935484,11.814516129032258,6.091666666666667,10.20967741935484,27.208333333333336,10.733870967741936,160.02919155714852,65,"45.18062283164391, 5.734753793944711"
282,74,1915498,4224321,282,336,simple droit,Inutilisable pour les comptages,295.0,Observation terrain PC feux,1794.9112903225805,1867.803571428571,1965.4435483870968,1890.05,1868.338709677419,2361.472222222222,1499.5080645161288,1319.6451612903224,1850.3166666666664,1772.362903225806,1819.875,1776.2016129032256,1815.494062553337,66,"45.18603634291392, 5.742754833734383"
191,47,1914720,4222561,191,355,simple droit,Inconnue,278.0,A valider,852.5403225806451,874.5803571428571,908.0967741935482,869.0749999999999,855.1129032258066,1022.574074074074,711.532258064516,609.4516129032257,731.1999999999999,677.5887096774193,738.0166666666667,1036.0161290322578,823.8154006300847,67,"45.17044572702412, 5.732099145914331"
193,49,1914706,4222700,193,177,simple droit,Inconnue,271.0,A valider,2443.75,2529.142857142858,2624.08064516129,2508.808333333333,2443.282258064516,3269.398148148147,2049.540322580645,1827.975806451613,2482.3,2395.1451612903224,2602.733333333333,4494.693548387097,2639.237534491096,68,"45.17169721019981, 5.731985312949541"
162,57,1915111,4223120,162,99,simple droit,Inconnue,350.0,A valider,1376.8951612903224,1351.866071428571,1477.5241935483864,1313.3916666666669,1383.7661290322585,3039.462962962962,1058.959677419355,875.2822580645161,1120.183333333333,1048.298387096774,1133.0333333333333,1045.0161290322578,1351.973275267395,69,"45.17535614778664, 5.7373159520798005"
163,58,1915126,4223187,163,249,simple droit,Inconnue,23.0,A valider,1531.5000000000002,1290.6874999999998,1194.9112903225807,829.6083333333333,1475.524193548387,3217.9999999999995,1435.879032258064,1228.3951612903224,1616.15,1581.467741935484,1653.7416666666663,1568.225806451613,1552.007560483871,70,"45.1759510562472, 5.737530299096987"
182,60,1914680,4223142,182,357,simple droit,Inconnue,281.0,A valider,1407.483870967742,1411.339285714286,1506.7419354838707,1387.45,1389.4596774193549,1877.0648148148148,1146.717741935484,818.3145161290322,157.70833333333334,139.70967741935488,157.33333333333331,208.9274193548387,967.354217158787,71,"45.17568537462113, 5.73185048853396"
183,62,1914694,4223213,183,279,simple droit,Inconnue,334.0,A valider,815.0322580645162,828.3392857142857,854.4435483870967,808.5666666666668,823.0000000000001,984.2777777777776,640.6854838709678,517.8145161290323,835.8333333333335,820.7903225806449,913.0583333333332,857.1209677419354,808.2468744666326,72,"45.17632148615954, 5.732052972582479"
131,66,1914875,4223854,131,65,double droit etroit,Inconnue,27.0,A valider,2130.0483870967737,2270.241071428571,2310.120967741936,2242.908333333333,2282.6370967741937,4092.61111111111,2115.7500000000005,1792.274193548387,2222.6833333333334,2158.887096774194,1394.2083333333333,1769.701612903226,2231.8392947815323,73,"45.18202373692329, 5.734623717518176"
151,67,1914917,4223683,151,340,double droit etroit,Inconnue,289.0,A valider,5499.024193548388,5704.017857142858,6014.733870967742,5952.908333333334,5912.879032258064,8648.48148148148,5174.5241935483855,4540.217741935484,5795.633333333333,5680.564516129031,5850.633333333332,5550.096774193548,5860.309555100415,74,"45.18047272932958, 5.735084066332321"
202,70,1914367,4223504,202,199,simple droit,Inconnue,70.0,A valider,3.225806451612903,0.0,0.0,3.333333333333333,13.709677419354838,2582.407407407408,95.16129032258064,118.5483870967742,20.0,9.677419354838708,38.333333333333336,8.870967741935484,241.10563520509763,75,"45.17902918977884, 5.728017269186152"
201,71,1914375,4223514,201,19,simple droit,Inconnue,62.0,A valider,3.225806451612903,0.0,0.0,3.333333333333333,13.709677419354836,2582.4074074074074,95.16129032258064,118.5483870967742,20.0,9.677419354838708,38.333333333333336,8.870967741935484,241.1056352050976,76,"45.17911919686529, 5.72812347302879"
321,82,1915853,4224565,321,278,double droit large,Inconnue,,A valider,7220.354838709676,7509.758928571428,7548.185483870968,7347.450000000001,7112.43548387097,12425.592592592591,6480.596774193549,5812.967741935484,7472.166666666666,7387.370967741935,7434.316666666667,7004.467741935486,7562.971990562953,77,"45.188124190848335, 5.747371603951035"
