fid,geo_point_2d,nom,epci,legende_sdic,geo_shape
467,"45.18955536619489,5.786077913824161",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.786077913824161,45.18955536619489],[5.788585789092505,45.18903204233956],[5.789606694942081,45.18889591982787],[5.790103351841877,45.18886350965802],[5.791731282791201,45.18894129403463],[5.79284416214074,45.18896722213654],[5.793625936890414,45.188999632247246],[5.794232961990161,45.1890061142672],[5.795207881089754,45.18892184795045],[5.795833300889496,45.18884406354731],[5.796146010789367,45.18882461742997],[5.796385141889266,45.18875979699067],[5.796753035889111,45.188694976477564],[5.79772795498871,45.188383836987164],[5.798279795988478,45.18812455277932],[5.798905215788218,45.18783285663374],[5.799098360138141,45.187755070742426],[5.799309899188054,45.187696731254185],[5.799641003787911,45.1875476411793],[5.800068680562738,45.187314282017226],[5.800505554687557,45.18711981531813],[5.800759372712366,45.18703663247319],[5.801448283062161,45.186948035847905],[5.801917347911967,45.1868086672176],[5.802234656486836,45.18667253938878],[5.802505978311725,45.186607716498685],[5.803264759686407,45.18653965238475],[5.803536081511292,45.18655585813354],[5.803821199361177,45.18661419879104],[5.804239678786003,45.18670495080609],[5.804671954235823,45.186724397647616],[5.804837506535756,45.18675680903547],[5.805003058835688,45.18680866721756],[5.80533416343555,45.18696424148045],[5.805817024310354,45.187184637624966],[5.806111339510234,45.18736613969151],[5.80631368121015,45.18770321342254],[5.80652522026006,45.187962499549634],[5.806727561959973,45.188481068260614],[5.80675644913962,45.18872631260219]]]}"
468,"45.18897392704006,5.722751757122959",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.722751757122959,45.18897392704006],[5.721575167836209,45.18785466729782],[5.720104694213,45.18565437771746],[5.718439973863696,45.18317156389441],[5.718335455516261,45.18309994022197],[5.718205365535474,45.18308935705748]]]}"
469,"45.19055548218224,5.711393551536488",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.711393551536488,45.19055548218224],[5.710626825041939,45.1902793831165],[5.710369299242048,45.190182154915],[5.710157760192137,45.19015622736657],[5.709495550992411,45.190020107543376],[5.708759762992718,45.18983861393945],[5.708207921992945,45.189715457235785],[5.707849225343094,45.18958581831246],[5.706149881883922,45.18875171227097]]]}"
470,"45.20951554614203,5.85294512616314",,CCLG,"Niveau 2 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.85294512616314,45.20951554614203],[5.855388712724358,45.21097006383724],[5.857729239703882,45.21233750651539],[5.859319495615256,45.213264770507344],[5.859571651644231,45.213411795628254],[5.860576837284773,45.21394953926994],[5.86120798309942,45.214761302320184],[5.861574465138544,45.215232649595954],[5.861929681116777,45.21545625922158],[5.862216877014077,45.21556273968668],[5.862451168403975,45.21563727589359],[5.86305216236623,45.21620177288005],[5.863692526973812,45.21680323382619],[5.864459118839372,45.21752323199333],[5.865282694934203,45.21829500881236],[5.868096106663833,45.220923711916335],[5.871289502929928,45.22390089364173],[5.872373312378324,45.224944680347996],[5.872843125214076,45.22538470502001],[5.873311707993873,45.22639608476153],[5.873357054714499,45.226577066606644]]]}"
471,"45.213881338415966,5.848675973652074",,CCLG,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.848675973652074,45.213881338415966],[5.852085893260462,45.21603169269825],[5.857379781945925,45.21936958738115],[5.859924686572308,45.22097397035905],[5.862421634555964,45.222603098691444],[5.870442348879203,45.227835197216265],[5.878118460380223,45.23273542890624],[5.881867122618623,45.23520497361093],[5.884467001267844,45.23767441100126],[5.887221265479657,45.242724542140984],[5.88984814544878,45.24759365558472],[5.892568948686334,45.252829296565615],[5.893657269981355,45.255297967955485],[5.896207507549205,45.25763814858002]]]}"
472,"45.220859057233575,5.800486663359256",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.800486663359256,45.220859057233575],[5.801961,45.220244],[5.802648,45.219806],[5.802648,45.218989],[5.802755,45.218173],[5.802465292477082,45.216933441610124]]]}"
473,"45.221649,5.798593",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.798593,45.221649],[5.801435448475589,45.222654208732195],[5.805397111487371,45.223839844477865],[5.809763637193366,45.22559619707024],[5.810674153282991,45.226365701477214]]]}"
474,"45.23006299089066,5.791461522945052",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.791461522945052,45.23006299089066],[5.791550956074416,45.230126755707055],[5.794395757056903,45.230305357082926],[5.795334293558096,45.23036511258555],[5.796729032952069,45.230785610379144],[5.797777383471257,45.2312971869505],[5.798853000682632,45.23236590897318],[5.799929667651946,45.233455255982854],[5.799668046227571,45.235279727021926],[5.799654054176576,45.23618910892339],[5.800169744902853,45.23656905345198],[5.800938201605325,45.23673622007052],[5.804273030982302,45.23795627261774],[5.805590516449268,45.238585158136594],[5.805935070219714,45.23905190628975],[5.806905140818412,45.23975126045194],[5.809038501453232,45.24031880895189],[5.811424835839721,45.24127265682697],[5.813062971499394,45.24247207862681],[5.815049895444859,45.244220737535024],[5.815517257476894,45.244209261288454],[5.820116012050746,45.245542445053644],[5.820607508248243,45.24542705398292],[5.822078626133282,45.24441982579247],[5.822991970175606,45.243963477043],[5.823621349593788,45.243679395978965],[5.825155202961256,45.24260387172813]]]}"
475,"45.36851344849515,5.989175797410011",,CCLG,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.989175797410011,45.36851344849515],[5.988805182408124,45.368646426148494],[5.987864249381513,45.368499860772616],[5.987306238812132,45.36782364125404],[5.986915111330164,45.368018004255596],[5.986180603964565,45.36789237240383],[5.98517127014027,45.36804358960968],[5.984461320901865,45.36795583469006]]]}"
476,"45.37181228777349,5.990760093671089",,CCLG,"Niveau 2 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.990760093671089,45.37181228777349],[5.989180763802956,45.36851166652774],[5.989175797410011,45.36851344849515]]]}"
477,"45.308306477984324,5.957766832047221",,CCLG,"Niveau 3 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.957766832047221,45.308306477984324],[5.957000669560893,45.307402736288054],[5.951195676787569,45.30139043486295]]]}"
478,"45.4218251633497,6.012941980349596",,CCLG,"Niveau 3 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[6.012941980349596,45.4218251633497],[6.011231111849551,45.42235433905574],[6.00459031855909,45.42207415374654]]]}"
479,"45.42207415374654,6.00459031855909",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[6.00459031855909,45.42207415374654],[6.004590204532398,45.422074149516995],[6.002414225317589,45.421864780137824],[5.99990398989425,45.42183348724773],[5.997824616590638,45.42215390427494],[5.991887435526715,45.424268677611735],[6.00164963865557,45.435089998956826]]]}"
480,"45.48538252115821,5.982657585533642",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.982657585533642,45.48538252115821],[5.982568756678085,45.48532786942138],[5.982408504939679,45.48517230601503],[5.982346869655679,45.48485253544185],[5.982593410791686,45.48408335014236],[5.982704354302888,45.48343515212907],[5.982815297814092,45.48299437321998],[5.982778316643691,45.48248444821877],[5.982420831996481,45.4817930171164],[5.981927749724467,45.48137815438187],[5.981779825042866,45.48102379004375],[5.981927749724469,45.47958902384587],[5.981878441497265,45.47936429811992],[5.981631900361259,45.47890620059516],[5.981496302736456,45.477843054252375],[5.981434667452455,45.47723800266192],[5.981890768554063,45.475906866294046],[5.98237152376928,45.47541416498983],[5.982655046075688,45.47485230736828],[5.982778316643693,45.47389281447866],[5.982729008416491,45.47359891248741],[5.981866114440463,45.47265668694679],[5.981681208588464,45.47229362335983],[5.981225107486848,45.47183546835256],[5.985157438606159,45.47116984029087],[5.985477942082965,45.4711611957189],[5.98648876074059,45.47138595415974],[5.987129767694208,45.470037390070054],[5.988584360396646,45.46919019869115],[5.989401866558644,45.46832287690045]]]}"
481,"45.409430263017455,5.979629917847909",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.979629917847909,45.409430263017455],[5.979743924082053,45.409400003793536],[5.979917402486994,45.40937605104272],[5.980109903613396,45.40936058864204],[5.980231066496664,45.40934155727306],[5.980725420083217,45.40923008365484],[5.981965685650644,45.408852576023754],[5.982179561691039,45.408804636891944],[5.985680389161241,45.4076664215022],[5.986641454972991,45.40739892193625]]]}"
482,"45.46832287690045,5.989401866558644",,CCLG,"Niveau 3 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.989401866558644,45.46832287690045],[5.989545870827073,45.46817009421539],[5.990017355535933,45.46570690337297],[5.990121464185624,45.465168382833085],[5.990245529704898,45.46462581580482],[5.990278211548313,45.464334066609965],[5.990309006843663,45.46400100681991],[5.990341459245929,45.4635561743914],[5.990350189505454,45.46335657676125],[5.990359460596432,45.4631406258146],[5.990341183902116,45.463046334512484],[5.990327316899235,45.46301810304864],[5.990296350893064,45.462938856154054],[5.990238998969837,45.46286699535571],[5.989654675140011,45.46212664193499],[5.989624350059661,45.46206127290578],[5.98961747494307,45.4619964952874],[5.989627846856519,45.461952100561966],[5.989654875450113,45.461903990807826],[5.989721100288922,45.46184013011554],[5.989956975572591,45.461638564790206],[5.990038602394849,45.46156938945861],[5.990149466407622,45.46149371433973],[5.990180036353724,45.46133929099333],[5.990180627096863,45.46133927524334],[5.990211436196586,45.46117830887192],[5.990264658835141,45.460980714987045],[5.990434002183011,45.460403008425615],[5.990887997556221,45.45829999392674],[5.99246601051282,45.451022000342604],[5.992525002199162,45.45067900707233],[5.99250401748998,45.45028617946182],[5.992457989015059,45.45005800381324],[5.992387085936745,45.449861153072725],[5.992269734310262,45.449643488112216],[5.992184919080479,45.44951276416224],[5.992074106643454,45.44937355338845],[5.991617999070967,45.448939999495224],[5.989658003658266,45.44717599627463],[5.987726166098893,45.44543278471992],[5.987075610131971,45.44483978549652],[5.986827912195406,45.44461514819564],[5.98642561640238,45.444245124331694],[5.986245409703697,45.444111017131675],[5.986152768251923,45.444017884591204],[5.98602865840416,45.44388985768717],[5.985944652771384,45.44379547855722],[5.985835852898895,45.4436390428279],[5.985790754636168,45.44357733775712],[5.985740172135959,45.4434463090074],[5.985456000144899,45.442626008712544],[5.985112996124093,45.44164299969287],[5.984692235457895,45.44046755705493],[5.983790416759618,45.43789565658167],[5.983343830226601,45.436624768853754],[5.983031124905415,45.43570723504389],[5.982608005139702,45.43446500346458],[5.981654009004275,45.43177299520412],[5.981508011516582,45.43137213480271],[5.981506270906605,45.4313721810997],[5.98149862251599,45.43120815896451],[5.981537250508029,45.429462312807935],[5.981547687000695,45.428445621199124],[5.98158510829964,45.427715805210774],[5.981639628648581,45.42613661718212],[5.981651223113717,45.42563873403482],[5.981660397963111,45.425139260867354],[5.981664373281061,45.42474738219111],[5.981670454443663,45.42434280688962],[5.981685328614569,45.42398206145779],[5.981747007285826,45.423747558431245],[5.981846863299419,45.42359742065667],[5.981922257019385,45.42348920217919],[5.98225700014603,45.42313222964917],[5.982470796620496,45.42294343530996],[5.98283838968884,45.42264776802074],[5.983040590539315,45.4224156552621],[5.983131702355711,45.422259628682966],[5.983126349564775,45.422170913690614],[5.983122520556356,45.42211545198198],[5.983098861290128,45.4220693038172],[5.983063994152909,45.422000578641196],[5.982979096670527,45.4219098988415],[5.982825275424714,45.42174935106341],[5.98273323543503,45.42163414763501],[5.982659402508911,45.42149068049799],[5.982652035051157,45.421439946416285],[5.982636931337257,45.42133875839844],[5.982658156798109,45.42126574511304],[5.982709176603592,45.421219453065696],[5.982791576605769,45.42117177976481],[5.982913382141329,45.421142656525674],[5.98301969097479,45.42114922908256],[5.98308698097648,45.42119223711624],[5.983126783423431,45.421206018798614],[5.983167626711576,45.4212320403358],[5.983206112888574,45.421239320449125],[5.983281981732771,45.421182829449535],[5.983282538765826,45.42112126048903],[5.983273180594479,45.42106949270131],[5.98322462807069,45.420986090726394],[5.983110202020936,45.420922397452],[5.983003738592785,45.42087703135736],[5.982900639555562,45.420880045773],[5.982826025529333,45.42090927548873],[5.982725519515742,45.42096804925607],[5.982666987349349,45.4210229917573],[5.982617381888358,45.42104255918283],[5.982540638029925,45.42105385222481],[5.982488309478211,45.42103726785798],[5.982434580248938,45.42099457984509],[5.982431263699101,45.42093992630892],[5.982452089016748,45.420895794946084],[5.982550624298341,45.42080057934418],[5.982605116539158,45.4207059788946],[5.982652932167866,45.42061701135965],[5.982659137666864,45.42053078399549],[5.982427400894433,45.4194121358122],[5.982342146026206,45.418976459558216],[5.982258992596913,45.41853900267944],[5.980960937052261,45.412725176589525],[5.980865019668273,45.412345347372224],[5.980779151206508,45.412013180197974],[5.980710935668149,45.41166420473107],[5.980706111995313,45.41163165023835],[5.980644135555015,45.411442111179184],[5.980521787125222,45.41117955086992],[5.980208576385126,45.410617027460425],[5.979957175536636,45.410160991241845],[5.979829801452507,45.40989148142513],[5.97973750459593,45.40967691572594],[5.979629917847909,45.409430263017455],[5.979630273015601,45.40942944258592]]]}"
483,"45.23804017602758,5.832499854651765",,CCLG,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.832499854651765,45.23804017602758],[5.833336213097557,45.23796242902511],[5.838533755368393,45.24089504439438],[5.840236888429182,45.241209761369085],[5.841247526475588,45.24139650061215],[5.84333119797831,45.24242188885073],[5.844267190716984,45.24288247257454]]]}"
484,"45.22411738941992,5.820358561449475",,CCLG,"Niveau 2 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.820358561449475,45.22411738941992],[5.820947737319282,45.226202857206296],[5.823753271681642,45.227719275136856],[5.824275231563009,45.2288680496676],[5.822905086874415,45.23098173414251],[5.823427046755785,45.23291155131916],[5.825947745545369,45.23425730462364],[5.830065966855039,45.236455688650096],[5.831517424917008,45.23723042850713],[5.832499854651765,45.23804017602758],[5.832705643654136,45.23898281328542],[5.832431450607055,45.23981945844946],[5.830713174178697,45.24144122783511],[5.828464791192644,45.243062950929016],[5.82757969814018,45.244083004615746]]]}"
485,"45.34396026651742,5.978431926526903",,CCLG,"Niveau 3 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.978431926526903,45.34396026651742],[5.980787969980217,45.34579413143724],[5.984070352385603,45.34642101516642],[5.988672823367068,45.351059738998266],[5.992276308399068,45.354795515857944],[5.992311986468692,45.356400069135816],[5.994060211880257,45.35807978710333],[5.995594368874078,45.35752824341819],[6.00112446966576,45.3600352168496],[6.003621934539424,45.36474802619897],[6.0100439870717,45.365750700942414],[6.012041958970632,45.36575070094239],[6.014182643148057,45.36705415153982],[6.019106216756134,45.36730481167292],[6.022317243022273,45.36695388717557],[6.023958434224967,45.366352297257926],[6.033092020048651,45.366452562688515],[6.037230676125004,45.36740507541518],[6.045293919859976,45.36825731004878],[6.048790370683103,45.37041290504289],[6.052607013891478,45.37183104236535],[6.054365535197124,45.372555676590196],[6.055056272093625,45.373777009207956],[6.05461805922282,45.37508345195758],[6.053674512751522,45.378634770111404],[6.053359223490361,45.380048132826786],[6.053398959631596,45.38079089239368],[6.055549587499717,45.3829927269529],[6.057097840685885,45.38416369713844],[6.058982761549048,45.38505019998217],[6.062279715830166,45.3852929856187],[6.063957742174628,45.385964531696075],[6.065738148561533,45.38635783507304],[6.066851948503052,45.38671380344055],[6.068855416417324,45.38798267072435],[6.070249113087037,45.389543283652294],[6.070759059998675,45.39030102887907],[6.070832890797328,45.390946454542714],[6.071154031540506,45.39219134719408],[6.072042742127117,45.394536799701534],[6.07261106053292,45.39565111237419],[6.07508327818699,45.397265484496806],[6.076252226700536,45.3986392007404],[6.078508196615116,45.400589877018696],[6.07929615198804,45.40142278913727],[6.081631271298498,45.401938745493844]]]}"
486,"45.18157492946609,5.647635384911381",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.647635384911381,45.18157492946609],[5.648228626786572,45.182829377243294],[5.647974380268634,45.1760789276961],[5.64856762214382,45.171478605364804],[5.650813466385605,45.16992516584817],[5.650008352412139,45.17106037581687],[5.650686343126643,45.17210594392848],[5.649754105894198,45.172583911529266],[5.64954223379592,45.17410740648607],[5.652974561788079,45.17948412174752],[5.654033922279488,45.17578021674866],[5.655220406029865,45.176198411636335],[5.661237573621066,45.17356970703747],[5.663780038800446,45.17312162028545],[5.665771636524296,45.171388985005954],[5.667169992372951,45.17162797231625],[5.666746248176389,45.17010441103173],[5.667847983087455,45.16867043376907],[5.667678485408831,45.16628039143834],[5.668822594739549,45.16486872558067],[5.667720859828485,45.160655927445916],[5.669542959873708,45.16209010646553],[5.670517571525805,45.162717548434244],[5.670263325007867,45.16448032460505],[5.670814192463398,45.16489860246907],[5.671788804115494,45.16477909482131],[5.67157693201721,45.1638529020505],[5.671831178535152,45.16321800314585],[5.672975287865867,45.163098491972434],[5.67369565300003,45.16199300173389],[5.673483780901744,45.16139543051123],[5.672127799472745,45.16157470253615],[5.670898941302712,45.15909472278742],[5.67039044826683,45.15816843760331],[5.671958301794119,45.155299846029585],[5.672593918088964,45.15604688899167],[5.674034648357278,45.15628594067121],[5.674924511170062,45.159513040192785],[5.676746611215285,45.15978195690304],[5.679924692689508,45.15532972793606],[5.680602683404014,45.15538949170209],[5.68100284802552,45.155980819990624],[5.681241,45.156122999999894],[5.681797600881966,45.156978070388824],[5.682025507951091,45.15767448697015],[5.682255285770609,45.15810867675173],[5.681450171797138,45.16073809492718],[5.682848527645795,45.161694216906014],[5.682933276485109,45.163277758638465],[5.685661,45.16276499999983]]]}"
487,"45.21218699999986,5.656478",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.656478,45.21218699999986],[5.655605177162551,45.21215253839664],[5.654970639483143,45.21268922080669],[5.655623707904128,45.21679137894557],[5.652249521062379,45.221046576082415],[5.652412788167624,45.222618235029984],[5.651269918430905,45.22415151896237],[5.651052228957243,45.22480315211138],[5.650616850009921,45.22445817078645],[5.651433185536152,45.222809897782966],[5.649038601325874,45.218401490988455],[5.646589594747184,45.21694472491396],[5.645392302642048,45.21659969590359],[5.646535172378771,45.21429944900058],[5.645174613168389,45.21364769546195],[5.644086165800084,45.21119396808895],[5.643487519747511,45.212229147234396],[5.643052140800189,45.21372437273653],[5.643160985537019,45.215334571621234],[5.641473892116146,45.21721307936351],[5.640984090800406,45.21985821974161],[5.639786798695273,45.21663803256369],[5.639950065800516,45.21529623408238],[5.63897046316904,45.21253586336281],[5.639079307905872,45.210657201114266],[5.641691581589805,45.20835671384507],[5.640929668431991,45.20628619574929],[5.637827593432319,45.20509753093874],[5.635650698695708,45.203256968679845],[5.633256114485431,45.202336665219526],[5.631677865801387,45.19896209182996],[5.631895555275045,45.20206824057266],[5.633582648695925,45.203372005565626],[5.635269742116797,45.20620950844655],[5.632439778959203,45.20433063723436]]]}"
488,"45.19388551386442,5.719107464249453",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.719107464249453,45.19388551386442],[5.718670278668832,45.19427089220451],[5.716964188598117,45.19713914147491],[5.71769232346758,45.19840146884085],[5.717847699527595,45.19857750546626]]]}"
489,"45.198880191042335,5.670574627267869",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.670574627267869,45.198880191042335],[5.664611,45.204961],[5.664611,45.204961],[5.662688432302216,45.20657142874004],[5.661986383692271,45.21057234165669],[5.661709016314488,45.21215287753373],[5.661554464821394,45.21303352734861],[5.661319150876682,45.21437431689857],[5.661243674058098,45.214804360919445],[5.661188442047362,45.21511905201333],[5.660253305874355,45.219616799547474],[5.659869,45.221240999999864]]]}"
490,"45.20318499999983,5.840199",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.840199,45.20318499999983],[5.841258241251102,45.20398821441975],[5.840838962391284,45.2048744600724],[5.839497270039891,45.20643028015675],[5.839385462343938,45.206705990669825],[5.83955317388786,45.207060473651694],[5.840112212367611,45.20727710105314],[5.840279923911535,45.20769066016497],[5.840251971987548,45.20818298852056],[5.840503539303437,45.208576848137],[5.840362089117247,45.20887986309778]]]}"
491,"45.20645259896396,5.837923458587118",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.837923458587118,45.20645259896396],[5.838770520016214,45.20690292593252],[5.83955317388786,45.207060473651616]]]}"
492,"45.32675298210825,5.936728065182838",,CCLG,"Niveau 2 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.936728065182838,45.32675298210825],[5.936980795875299,45.327368107826544],[5.937430721462161,45.32983024009118],[5.941397362717129,45.33735275889154],[5.943965586607534,45.34224869788897],[5.945444260968679,45.34760912876339],[5.947399613248875,45.35164279176739]]]}"
493,"45.31576145692081,5.946370839815701",,CCLG,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.946370839815701,45.31576145692081],[5.949432822077786,45.31421648372342],[5.950045623694122,45.31380484601799],[5.950679121139036,45.31379514171124],[5.952508956366725,45.313300761114036],[5.952563950526178,45.31310199550009],[5.953142057446604,45.31292266452053],[5.953701878380353,45.31275037944536],[5.954072279279162,45.31270137729463],[5.95476190811117,45.31233497322222],[5.95515711685216,45.31186431266934],[5.955476199981675,45.31172452967555],[5.956129449595969,45.31155640492825],[5.956715274116406,45.3111663481398],[5.95696434072246,45.31057445573593],[5.957330907662289,45.31009136779008],[5.957751500950529,45.30975161083257],[5.956723781999501,45.308826481444285],[5.957257266871818,45.30855133996736],[5.957772968915063,45.30831371670798],[5.957766832047221,45.308306477984324]]]}"
494,"45.35825902905186,5.951797735833167",,CCLG,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.951797735833167,45.35825902905186],[5.952385154228356,45.358317317068085],[5.953675468238797,45.35783933318832],[5.954929178745746,45.35737830225759]]]}"
495,"45.36024583951751,5.959686229815463",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.959686229815463,45.36024583951751],[5.961748591424425,45.35924785733994],[5.961982066323555,45.359152159493895],[5.962993790886442,45.3595212788653],[5.964200077865269,45.358728352801634],[5.964530833972366,45.35861898281737],[5.967178731758114,45.35706081051952]]]}"
496,"45.302511382295336,5.913533317572786",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.913533317572786,45.302511382295336],[5.915470344016518,45.300659080277185],[5.91643365189636,45.29929136047725],[5.918021325994616,45.29852592490636],[5.92091124963414,45.29969289631676],[5.921714006200676,45.298551021318424],[5.924068758795844,45.29794870436314],[5.924264988178776,45.297358929478214],[5.924532573700952,45.295263296755294],[5.92656142388964,45.29357869772008]]]}"
497,"45.33381602022819,5.96458187656372",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.96458187656372,45.33381602022819],[5.967946712542764,45.33292069555389]]]}"
498,"45.258419214403794,5.908278653562721",,CCLG,"Niveau 3 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.908278653562721,45.258419214403794],[5.909527012027019,45.25828522735568],[5.910071242196658,45.25823734106562],[5.911771961476777,45.25909928810723],[5.923257082711904,45.266795179591014],[5.921401823091468,45.264284078261035],[5.920688261698994,45.2625262412381],[5.919047070496303,45.26127061004088],[5.918618933660816,45.259211314761494],[5.915764688090914,45.25644872818472],[5.915193838976934,45.25443948989056],[5.922044028344696,45.2520785440543],[5.924684205496854,45.2525808811755],[5.926325396699546,45.252128777966355],[5.927110314231268,45.25112409128305],[5.9291082861302,45.25122456075113],[5.931605751003865,45.252731581445424]]]}"
499,"45.20414143618227,5.851276577245971",,GAM,"Niveau 3 - Grésivaudan : itinéraire sur RD
(à étudier)","{""type"":""MultiLineString"",""coordinates"":[[[5.851276577245971,45.20414143618227],[5.856271506993296,45.20554915563771],[5.857627273638999,45.20509667818311],[5.857783585329281,45.20534447621329]]]}"
500,"45.25555595574192,5.844861616515751",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.844861616515751,45.25555595574192],[5.8450724954203,45.255145085968635],[5.844644358584814,45.254410449597145],[5.845634425016875,45.25284696106928],[5.846249871717886,45.25177321510174],[5.847052628284419,45.25094434468185],[5.847748350642081,45.250586419624604],[5.847293455254377,45.24994591652412],[5.847427248015468,45.24936192210801],[5.847668074985427,45.248928632048155],[5.84753428222434,45.248533016498165],[5.846463940135626,45.24860837205347],[5.845179529629171,45.24815623722211],[5.845206288181389,45.24745918897264],[5.846463940135627,45.246272303352484],[5.847306711328427,45.24570641925309],[5.847587799328773,45.24559407186374],[5.847747114978333,45.245292985626854],[5.8483087101178,45.24483946409967]]]}"
501,"45.25106129777523,5.851579840837771",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.851579840837771,45.25106129777523],[5.851521306504794,45.25190507973504],[5.849969310476161,45.25322370922921],[5.848444072999746,45.25390184961896],[5.848230004582003,45.25425975378215],[5.848444072999745,45.255050902349545],[5.852029718996933,45.25702872554743],[5.850926141212192,45.25810936341449]]]}"
502,"45.20870658863492,5.797968812755786",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.797968812755786,45.20870658863492],[5.799402336422532,45.210159350095815],[5.799415715698641,45.21046097528526],[5.799730128687202,45.21096053848676],[5.799604790715342,45.21120598363229]]]}"
503,"45.22119805372473,5.790274211554498",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.790274211554498,45.22119805372473],[5.789602016672757,45.22213829563988],[5.787782435121944,45.22157286322171],[5.787248702478379,45.22273332463841],[5.785909336466698,45.224211499728106],[5.786074292745298,45.225031052007225],[5.786765610137667,45.22560615812202],[5.784785477273547,45.22571923703276],[5.783340515453786,45.22651078310963],[5.782002587842895,45.225907701384116],[5.782322706097958,45.22668535820863],[5.784196789124758,45.22816922486404],[5.783073023427423,45.227880104968854],[5.782163139156203,45.22715155043245],[5.780611143127568,45.22752846901301],[5.77788177080135,45.227603852429205],[5.772862183248138,45.22645559633735],[5.772262474835609,45.22571923703276],[5.772369509044481,45.22496537337905],[5.771941372208994,45.22485229296873],[5.770774343722661,45.22542165642416],[5.770014756449311,45.22541769277093],[5.769372551196083,45.22473921233347],[5.768395991254859,45.224325108654114],[5.767940008034379,45.2234808999185]]]}"
504,"45.25966833034195,5.909637887329014",,CCLG,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.909637887329014,45.25966833034195],[5.908012379872072,45.260591417700795],[5.908734860781952,45.26119413135115],[5.909492261260296,45.2612588966756],[5.910833439590448,45.26079414542877],[5.911810092528301,45.26066827464473],[5.910173167181759,45.258939943735285],[5.910049366105128,45.25862041461168],[5.909243273274091,45.25861371859541],[5.908803401284674,45.25890145829827]]]}"
