# Validation data for sensors in Grenoble, France
# https://aqicn.org/station/validation/@530863/
# Generated on 2025-11-27T08:24:22.259Z
# Hourly PM2.5 AQI data
time,522601,368140,183157,121567,80761,525991,495421,361837,66682,61684,189697,70084,525526,220114,502414,530863,74698,231595,188446,253609
2025-11-22T12:00:00.000Z,5.93,0.2,7.1,0.8,10.45,3.53,4.29,1.88,7.4,7.6,5.9,9.13,2.48,,13.75,5.85,3,3.67,19.33
2025-11-24T11:00:00.000Z,0.9,0,0.98,0.3,2.5,1.05,,0.45,,0.88,0.5,0.7,14.18,,,0.88,0,0,4.75
2025-11-21T20:00:00.000Z,,0.1,3.9,0.47,6.7,2.03,39.59,1.17,3.73,4.69,3.17,4.88,,,1,1.74,4,12.67,7.75
2025-11-16T18:00:00.000Z,5.97,0,8.1,0.85,10.01,1.46,0.09,2.5,11.5,5.96,3.6,8.52,2.98,15.49,9.84,5.8,6.33,51,10.88
2025-11-21T11:00:00.000Z,2.62,0.1,2.53,0.3,6.03,1.09,1.08,0.85,2.7,3.4,2.2,3.5,1.05,,1,1.29,9,0,4
2025-11-25T20:00:00.000Z,4.2,0,2.9,0.3,5.48,4.4,,6.93,,1.7,1.8,0.75,2.9,,7.59,2.22,2.33,0,7.25
2025-11-13T16:00:00.000Z,1.2,0.1,1.27,0.3,1.67,0.64,,0.92,,2.1,1.23,1.77,,,1,1.1,3,13.67,8.25
2025-11-14T12:00:00.000Z,1,0.1,0.82,0.5,1.58,0.99,0.08,1.75,1.4,1.61,1.3,1.38,,2.17,0.25,0.82,2,1,
2025-11-15T09:00:00.000Z,1.02,0.1,1,0.47,1.83,1.74,0.08,0.6,,1.19,1.62,1.3,,2.28,0.25,0.92,1.33,0,0
2025-11-24T06:00:00.000Z,0.4,0,0.4,0.31,5.69,0.3,,1.2,,0.74,0.4,0.53,0.9,,0,0.2,0,1.6,0
2025-11-24T14:00:00.000Z,0.9,0,0.7,0.2,4.03,1.3,,0.4,,0.6,0.6,0.79,1.15,,,0.79,25,17.33,1
2025-11-27T08:00:00.000Z,4.1,0,4.31,0.96,10.65,3.9,2.42,1.02,5.22,6.3,3.83,6.85,1.8,,7.67,3.55,2,0,9
2025-11-16T15:00:00.000Z,5.17,0,4,0.7,13.05,5.45,0.5,1.08,7.25,3.49,3,4.33,2.6,8.82,3,2.37,1.17,52.75,6
2025-11-16T17:00:00.000Z,6.88,0,5.6,0.98,13.27,10.56,,1.6,3.2,2.76,2.78,7.69,2.6,13.9,4,4.06,3,59,12.5
2025-11-19T04:00:00.000Z,2.7,0,2.85,1.15,,2.29,0.92,1.42,,3.69,2.42,,2.53,12.33,,2.88,172.5,2.38,5.25
2025-11-19T05:00:00.000Z,2.4,0,4.28,1.05,,2.5,0.5,1.35,8.68,3.35,2.6,3.2,2,11.63,,2.75,86.67,1.75,5
2025-11-15T18:00:00.000Z,2.33,0.1,2.61,0.38,2.33,1.08,,1.45,3.4,5.46,2.5,2.5,,,2,2.7,75.67,0,4
2025-11-18T23:00:00.000Z,7.43,0,8.3,1.35,,3,1.25,2,,14.38,5.76,,3.5,10.95,9,5.02,162.25,4.33,16.25
2025-11-21T03:00:00.000Z,2.67,,2.2,0.4,,2.54,0.09,,1.39,1.73,1.4,,0.6,,,0.4,0,0,2
2025-11-26T04:00:00.000Z,0.8,0,0.4,0.4,,3.5,,1.73,,0.92,0.6,,0.4,,,0.32,2,0,0
2025-11-19T15:00:00.000Z,1.83,0.1,4.07,0.75,1.98,5.43,0.75,1.3,2.33,3.03,3.38,3.43,1.83,7.74,9.67,2.9,212,0.75,4
2025-11-25T12:00:00.000Z,0.7,0,0.5,0.3,1.3,1.6,47.08,1.25,,1.63,0.7,0.7,0.5,3.45,1,0.44,0,0,0
2025-11-26T01:00:00.000Z,1.6,,1.6,0.95,,3.76,,,,1.5,1.78,,0.7,,,1.35,9,0,1
2025-11-14T09:00:00.000Z,2.03,0.1,,0.55,3.15,1.2,,1.4,1.65,2.5,1.9,2.95,,1.87,2,2.22,3,1.5,3.75
2025-11-17T03:00:00.000Z,3.5,,6.78,1.27,,1.44,,,9.65,3.9,5.57,,2.6,6.85,,7.06,13,5.33,5
2025-11-18T01:00:00.000Z,1.4,,1,0.35,,0.88,0.08,,1.25,1.7,1.13,,0.85,5.64,,0.76,1,0,2
2025-11-18T17:00:00.000Z,4.26,0,4.03,0.93,7.15,5.69,1.5,1.02,,6.44,3.57,6.39,6.06,23.74,7.5,2.68,39.75,0.75,8.65
2025-11-21T21:00:00.000Z,,0,3.95,0.6,6.13,2.5,12.71,1,3.85,5.1,3.17,4.92,,,1,1.73,2,22.67,7.25
