# Sensor Grenoble, France (Citizen Science project sensor.community/13222)
# https://aqicn.org/station/@60685/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-16T00:00:00.000Z,0.74,5.26,2,1.32,3.17,1.154,491
2020-03-17T00:00:00.000Z,1.28,5.22,2.54,2.13,3.64,0.969,499
2020-03-18T00:00:00.000Z,1.61,5.57,4.03,3.41,4.54,0.844,449
2020-03-19T00:00:00.000Z,1.5,8.69,3.82,2.13,5.88,1.936,485
2020-03-20T00:00:00.000Z,3.05,7.2,3.78,3.5,4.58,0.813,422
2020-03-21T00:00:00.000Z,2.98,8.02,4.68,3.91,5.45,1.099,437
2020-03-22T00:00:00.000Z,3.1,14.02,6.67,5.5,9.32,2.591,425
2020-03-23T00:00:00.000Z,3.77,7.18,5.87,5.55,6.29,0.663,421
2020-03-24T00:00:00.000Z,2.49,7.25,3.98,3.24,5.21,1.232,431
2020-03-25T00:00:00.000Z,2.1,10.43,7.21,6.4,8.72,1.922,410
2020-03-26T00:00:00.000Z,0.88,10.64,4.94,3.77,6.94,2.328,400
2020-03-27T00:00:00.000Z,7.32,18.12,10.95,9.68,14.21,2.699,364
2020-03-28T00:00:00.000Z,10.28,15.42,12.94,12.25,14.15,1.183,169
2020-03-29T00:00:00.000Z,1.76,17.2,11.69,3.87,12.98,4.752,328
2020-03-30T00:00:00.000Z,2.98,12.04,4.33,4.01,4.74,1.438,132
2020-03-31T00:00:00.000Z,4.61,8.75,6.32,5.72,6.69,0.766,301
2020-04-01T00:00:00.000Z,1.44,6.69,3.02,2.29,4.99,1.421,208
2020-04-02T00:00:00.000Z,2,6.32,3.2,2.66,3.6,0.951,424
2020-04-03T00:00:00.000Z,4.15,12.73,9.02,6.67,10.76,2.38,448
2020-04-04T00:00:00.000Z,2.29,7.3,5.43,2.87,6.3,1.672,485
2020-04-05T00:00:00.000Z,2.34,5.62,3.74,3.35,4.32,0.685,478
2020-04-06T00:00:00.000Z,3.6,6.75,4.62,4.34,5.05,0.554,419
