type,geo_point_2d,city,name,visible,epci
clusters,"45.1702,5.67794",Seyssinet-Pariset,LES VISANS,1.0,LaMetro
clusters,"45.22209,5.79354",Meylan,CHEMIN DE SAINT-MARTIN,1.0,LaMetro
clusters,"45.20851,5.75836",Meylan,Jules Flandrin,,LaMetro
clusters,"45.18007,5.70638",Grenoble,Vallier - Catane,,LaMetro
clusters,"45.12338,5.69802",Le Pont-de-Claix,Pont-de-Claix Mairie,,LaMetro
clusters,"45.16442,5.67152",Seyssinet-Pariset,BEL AIR,1.0,LaMetro
clusters,"45.1784,5.69193",Seyssinet-Pariset,MURAILLES,,LaMetro
clusters,"45.21415,5.63961",Sassenage,GRANDES COTES,1.0,LaMetro
clusters,"45.19268,5.71437",Grenoble,GARE ROUTIERE,,LaMetro
clusters,"45.193,5.76888",Saint-Martin-d'Hères,St-Martin-d'Hères,1.0,LaMetro
clusters,"45.1854,5.73146",Grenoble,Chavant,,LaMetro
clusters,"45.18913,5.72528",Grenoble,Victor Hugo,,LaMetro
clusters,"45.18626,5.72503",Grenoble,Champollion (SNCF),1.0,LaMetro
clusters,"45.19115,5.71369",Grenoble,Grenoble Europole,1.0,LaMetro
clusters,"45.12556,5.69798",,Pont-Claix-TAG-Marcelli,1.0,LaMetro
clusters,"45.15272,5.71992",Échirolles,gare de Echirolles,1.0,LaMetro
clusters,"45.19533,5.71088",Grenoble,Grenoble Cité Internationale,1.0,LaMetro
clusters,"45.19147,5.71454",Grenoble,Gare de Grenoble,1.0,LaMetro
clusters,"45.2357,5.67119",Saint-Égrève,gare de St-Egrève-St-Robert,1.0,LaMetro
clusters,"45.18491,5.78474",Gières,Gare de Grenoble U.-Gières,1.0,LaMetro
clusters,"45.12517,5.69984",Le Pont-de-Claix,gare de Pont-de-Claix,1.0,LaMetro
clusters,"45.08541,5.74226",Jarrie,gare de Jarrie-Vizille,1.0,LaMetro
clusters,"45.04372,5.70118",Saint-Georges-de-Commiers,gare de St-Georges-de-Commiers,1.0,LaMetro
clusters,"45.04765,5.68542",Vif,gare de Vif,1.0,LaMetro
clusters,"45.17417,5.78998",Gières,LA COMBE,,LaMetro
clusters,"45.21074,5.79174",Meylan,LES BEALIERES,,LaMetro
clusters,"45.18105,5.78841",Gières,GIERES EDELWEISS,1.0,LaMetro
clusters,"45.20882,5.79769",Meylan,BUSSEROLLES,,LaMetro
clusters,"45.18837,5.73163",Grenoble,Verdun - Préfecture,,LaMetro
clusters,"45.20929,5.79458",Meylan,NORBERT SEGARD CNET,,LaMetro
clusters,"45.20456,5.84425",Domène,RENE CASSIN,,LaMetro
clusters,"45.2069,5.84792",Domène,DOMENE LES ARNAUDS,1.0,LaMetro
clusters,"45.16906,5.79307",Gières,LES TERRATS,,LaMetro
clusters,"45.18491,5.78535",Gières,GIERES GARE,1.0,LaMetro
clusters,"45.20729,5.834",Domène,LES VERNES,,LaMetro
clusters,"45.20454,5.83615",Domène,LE PRIEURE,,LaMetro
clusters,"45.20236,5.83816",Domène,DOMENE MAIRIE,,LaMetro
clusters,"45.16317,5.81224",Venon,LE CHENIL,,LaMetro
clusters,"45.25819,5.65938",Fontanil-Cornillon,CROIX DE ROCHETTE,1.0,LaMetro
clusters,"45.25037,5.66504",Fontanil-Cornillon,LEP F. DOLTO,1.0,LaMetro
