plaspe_id,plaspe_type_nom,adresse,plaspe_barrette_id,plaspe_datecre,plaspe_peint_date,plaspe_arrete_num,plaspe_sign_horiz_etat,plaspe_sign_vert_etat,geo_point_2d
4162,Autopartage,"17 Rue de l'Isère",7161,20230428000000,,,"Bon Etat","Bon Etat","45.19214663823198,5.715694324029017"
508,PMR,"28 Boulevard Maréchal Foch",6796,20230405000000,,,"Bon Etat","Bon Etat","45.18113013667355,5.723645221767812"
3437,"Vélos électriques et trotinettes en libre-service","14 Rue Boucher de Perthes",4697,20230210000000,,,"Bon Etat",,"45.18417362126465,5.706836428381089"
2045,PMR,"20 Rue Leconte de Lisle",,20130620000000,,,"Bon Etat","Bon Etat","45.169035494224865,5.728022356697258"
192,PMR,"2 Rue du Vieux Temple",6576,20080717000000,,,"Bon Etat","Bon Etat","45.193547895631426,5.733607273923457"
4005,"Vélos électriques et trotinettes en libre-service","3 Rue Eugène Varlin",7027,20230424000000,,,"Bon Etat",,"45.18037981656925,5.707097124239508"
877,Livraison,"7 Rue Malakoff",1998,20230315000000,,,"Bon Etat","Bon Etat","45.18885480612096,5.737873964868545"
4025,Livraison,"8 Rue Ampère",3303,20230425000000,,,"Bon Etat","Bon Etat","45.18632398913262,5.7056977530775725"
4362,"Transport de fond","3 Rue Philis de la Charce",7425,20230516000000,,,"Bon Etat",Absent,"45.190623028728226,5.7280365240321895"
704,PMR,"50 Place des Géants",,,,,Absent,"Bon Etat","45.162697096517995,5.738788423169552"
3697,Livraison,"37 Rue Lesdiguières",6639,20230323000000,,,"Bon Etat","Bon Etat","45.1859295019038,5.724294840283668"
1348,"Dépose minute","10 Chemin de l'Église",,20120910000000,,,,,"45.17686637249744,5.734797129464449"
275,PMR,"2 Rue Pierre Bonnard",7811,20080717000000,,,"Bon Etat","Bon Etat","45.17566489301037,5.7266776226200005"
4288,Autopartage,"2 Place Saint Laurent",7356,20230511000000,,,Absent,"Bon Etat","45.19768883646587,5.73222434156895"
4287,Livraison,"2 Place Saint Laurent",7356,20230511000000,,,"Bon Etat","Bon Etat","45.19771800147405,5.7321455457695105"
4286,Livraison,"2 Place Saint Laurent",7356,20230511000000,,,"Bon Etat","Bon Etat","45.1977391102717,5.73208851548452"
4285,Livraison,"2 Place Saint Laurent",7356,20230511000000,,,"Bon Etat","Bon Etat","45.1977612049448,5.732028821502539"
180,PMR,"2 Place Saint Laurent",7356,20140603000000,,,"Bon Etat","Bon Etat","45.19766248517081,5.732295535296982"
4337,"Vélos électriques et trotinettes en libre-service","33 Avenue des Martyrs",7322,20230515000000,,,"Bon Etat",,"45.204373124094396,5.7013356134508"
867,Livraison,"6 Rue Jay",7225,20230503000000,,,"Bon Etat","Bon Etat","45.18945302792759,5.721028821796401"
4195,Livraison,"6 Rue Jay",7225,20230503000000,,,"Bon Etat","Bon Etat","45.18950224443321,5.7210459076653395"
3512,Livraison,"36 Rue Diderot",6368,20230308000000,,,,,"45.191004775283304,5.704617363836206"
4023,Livraison,"2 Rue Ampère",4081,20230425000000,,,"Bon Etat","Bon Etat","45.18792188464936,5.705790860954293"
