barrette_id,barrette_place_nb_total,voie,barrette_type_nom,barrette_secteur_controle,barrette_zone_tarif,barrette_datecre,barrette_controle,barrette_sign_horiz_nom,barrette_peint_date,barrette_place_nb_active,geo_shape,geo_point_2d
4404,2.0,Rue Marcel Benoit,Long,33.0,violet,20080717000000.0,1,Dégradé,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7307176,45.1891528],[5.7307984,45.1890522]]}","45.18910251391327,5.73075798868785"
4411,,Rue Claude Genin,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7461636,45.1821128],[5.7463461,45.1821664]]}","45.18213961558295,5.746254854859915"
4412,,Rue Claude Genin,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7468652,45.1823444],[5.7466631,45.1822751]]}","45.18230973158107,5.74676412717238"
379,2.0,Rue Bizanet,Long,66.0,globale,20080717000000.0,1,Bon Etat,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7394085,45.1975474],[5.7395484,45.1975611]]}","45.19755427377068,5.739478472278666"
380,5.0,Rue Bizanet,Long,66.0,globale,20080717000000.0,1,Absent,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7377481,45.1973826],[5.7380926,45.1974145]]}","45.19739853470081,5.737920344451448"
381,3.0,Rue Bizanet,Long,66.0,globale,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7382823,45.1973785],[5.7384802,45.1973965]]}","45.19738749900763,5.738381233755365"
382,2.0,Rue Ernest Calvat,Long,66.0,globale,20080717000000.0,1,Absent,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7386004,45.1976071],[5.738603,45.1975232]]}","45.19756513475616,5.738601721142416"
383,6.0,Rue Ernest Calvat,Long,66.0,globale,20080717000000.0,1,Absent,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7385892,45.19706],[5.7385527,45.1973517]]}","45.19720583215647,5.738570973767034"
384,3.0,Rue Linné,Long,66.0,globale,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7386236,45.198135],[5.7388215,45.1981412]]}","45.19813806660274,5.738722543372429"
385,7.0,Rue Émile Ducros,Long,66.0,globale,20080717000000.0,1,Absent,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7402379,45.1984083],[5.740259,45.1980904]]}","45.1982493636104,5.740248460352831"
386,6.0,Rue de Mortillet,Long,66.0,globale,20080717000000.0,1,Absent,,6.0,"{""type"":""LineString"",""coordinates"":[[5.739716,45.1984926],[5.7401234,45.1984615]]}","45.19847709390841,5.739919675385628"
387,4.0,Rue de Mortillet,Long,66.0,globale,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7418464,45.1983241],[5.7420937,45.1983042]]}","45.198314121815244,5.7419700423168205"
388,13.0,Rue de Mortillet,Long,66.0,globale,20080717000000.0,1,Absent,,11.0,"{""type"":""LineString"",""coordinates"":[[5.7409592,45.1984449],[5.7418193,45.1983794]]}","45.19841213173275,5.741389235010901"
390,9.0,Chemin de Halage,Épis,66.0,globale,20080717000000.0,1,Absent,,8.0,"{""type"":""LineString"",""coordinates"":[[5.741814,45.1990246],[5.7418973,45.1988219],[5.7419666,45.1986447]]}","45.19883038988952,5.741892659868794"
393,3.0,Avenue Maréchal Randon,Long,66.0,globale,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7390816,45.1991256],[5.7392606,45.1992635]]}","45.19919451035912,5.739171097828253"
394,7.0,Avenue Maréchal Randon,Long,66.0,globale,20080717000000.0,1,Absent,,6.0,"{""type"":""LineString"",""coordinates"":[[5.739703,45.1996014],[5.7400226,45.1998455]]}","45.19972348192689,5.739862775634363"
396,20.0,Place Émé de Marcieu,Mixte,,,20080717000000.0,1,Bon Etat,,20.0,"{""type"":""LineString"",""coordinates"":[[5.7332679,45.1964476],[5.7336028,45.1965803],[5.7338844,45.1966716],[5.7339262,45.196684]]}","45.196595873641144,5.7336703092163015"
405,9.0,Rue Humbert II,Long,19.0,vert,20080717000000.0,1,Bon Etat,,9.0,"{""type"":""LineString"",""coordinates"":[[5.7225192,45.1848725],[5.7230494,45.1850493]]}","45.18496090158674,5.722784276874776"
406,10.0,Rue Thiers,Long,27.0,orange,20080717000000.0,1,Dégradé,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7213652,45.1874616],[5.7210953,45.1870505]]}","45.18725604760589,5.721230246340073"
412,6.0,Place Championnet,Long,26.0,orange,20080717000000.0,1,,,1.0,"{""type"":""LineString"",""coordinates"":[[5.7223608,45.1854831],[5.7226179,45.1856988]]}","45.185590982501964,5.722489368688878"
4413,8.0,Chemin de Ronde,Long,66.0,globale,20080717000000.0,1,Bon Etat,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7352951,45.1958856],[5.735853,45.1959122]]}","45.19589888734751,5.7355740372983295"
418,15.0,Rue de Narvik,Mixte,21.0,vert,20080717000000.0,1,Dégradé,,13.0,"{""type"":""LineString"",""coordinates"":[[5.7282794,45.1827043],[5.7282134,45.1830094]]}","45.1828568604428,5.728246392209831"
419,18.0,Place de l'Étoile,Épis,3.0,orange,20080717000000.0,1,Dégradé,,18.0,"{""type"":""LineString"",""coordinates"":[[5.7285859,45.1880738],[5.7287767,45.1878213],[5.7289114,45.1877635]]}","45.18788621046565,5.728757997076484"
421,8.0,Rue Lesdiguières,Long,4.0,vert,20080717000000.0,1,Bon Etat,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7301186,45.1881663],[5.7301942,45.1881938],[5.7306036,45.1883461]]}","45.188235439699376,5.7303054397652735"
422,3.0,Rue Beyle Stendhal,Long,4.0,vert,20080717000000.0,1,Bon Etat,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7309327,45.1873347],[5.7310544,45.1874591]]}","45.187396889791394,5.730993531845051"
423,15.0,Rue Beyle Stendhal,Long,4.0,vert,20080717000000.0,1,Dégradé,,15.0,"{""type"":""LineString"",""coordinates"":[[5.7309895,45.1873042],[5.7315373,45.1878849]]}","45.18759456222646,5.73126342188073"
424,8.0,Place de Metz,Long,,,20080717000000.0,1,Dégradé,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7304263,45.1875328],[5.730492,45.1874588],[5.7305019,45.1874501],[5.7305155,45.187442],[5.7305511,45.187427],[5.7306191,45.1873997],[5.7308444,45.1873103]]}","45.187431542534796,5.730564318032676"
426,2.0,Rue Charles Tartari,Long,33.0,violet,20080717000000.0,1,Bon Etat,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7295619,45.1866001],[5.7294982,45.1865206]]}","45.18656034909462,5.729530039301197"
427,9.0,Rue Champollion,Long,23.0,vert,20080717000000.0,1,Dégradé,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7340764,45.1882814],[5.7344534,45.1886091]]}","45.18844522866546,5.734264935688249"
4417,,Rue Marcel Peretto,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.729039,45.1798813],[5.7296733,45.1790058]]}","45.179443574761564,5.729356170266999"
433,4.0,Place Bir Hakeim,Long,23.0,vert,20080717000000.0,1,Absent,,0.0,"{""type"":""LineString"",""coordinates"":[[5.7363945,45.18851],[5.7366604,45.1886023]]}","45.188556132218196,5.73652741719743"
434,9.0,Rue Dolomieu,Long,23.0,vert,20080717000000.0,1,Bon Etat,,9.0,"{""type"":""LineString"",""coordinates"":[[5.735601,45.188295],[5.7361195,45.1884728]]}","45.18838392040932,5.73586027862182"
435,3.0,Rue Dolomieu,Long,23.0,vert,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7348336,45.1880281],[5.7350157,45.1880906]]}","45.18805937063274,5.734924675427385"
436,3.0,Rue Dominique Villars,Long,23.0,vert,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7349169,45.1884279],[5.7350123,45.1883061]]}","45.18836699192579,5.734964589796672"
437,7.0,Rue Dominique Villars,Long,23.0,vert,20080717000000.0,1,Dégradé,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7347027,45.1885975],[5.7349243,45.1883149]]}","45.188456246640236,5.734813523510846"
438,11.0,Rue Champollion,Long,23.0,vert,20080717000000.0,1,Dégradé,,11.0,"{""type"":""LineString"",""coordinates"":[[5.7338849,45.1880279],[5.7343583,45.1884395]]}","45.18823374197552,5.734121608796273"
439,4.0,Rue Haxo,Long,23.0,vert,20080717000000.0,1,Bon Etat,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7336369,45.18826],[5.7337747,45.188083]]}","45.18817151649051,5.7337058137344705"
440,5.0,Rue Haxo,Long,23.0,vert,20080717000000.0,1,Bon Etat,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7335818,45.1882427],[5.7337324,45.1880433]]}","45.18814301497663,5.733657107627067"
441,4.0,Rue Haxo,Long,23.0,vert,20080717000000.0,1,Bon Etat,,3.5,"{""type"":""LineString"",""coordinates"":[[5.7338607,45.1879762],[5.7339954,45.1877997]]}","45.187887974370334,5.7339280051155335"
442,6.0,Rue Haxo,Long,23.0,vert,20080717000000.0,1,Bon Etat,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7339865,45.187713],[5.7341742,45.1874734]]}","45.18759321271786,5.734080306137148"
443,11.0,Rue Haxo,Long,23.0,vert,20080717000000.0,1,Bon Etat,,10.5,"{""type"":""LineString"",""coordinates"":[[5.7340782,45.1876921],[5.734436,45.1872293]]}","45.187460742864474,5.734257094830352"
444,10.0,Rue Haxo,Long,23.0,vert,20080717000000.0,1,Bon Etat,,7.0,"{""type"":""LineString"",""coordinates"":[[5.7344859,45.187071],[5.7348077,45.1866521]]}","45.186861515749776,5.734646809111238"
445,2.0,Rue Jean Bocq,Long,23.0,vert,20080717000000.0,1,Dégradé,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7339797,45.1870068],[5.7341223,45.1870596]]}","45.18703321570499,5.734051016484505"
446,11.0,Rue Jean Bocq,Long,23.0,vert,20080717000000.0,1,Dégradé,,10.0,"{""type"":""LineString"",""coordinates"":[[5.7337445,45.1868665],[5.7343746,45.187098]]}","45.18698223641973,5.7340595617525985"
447,11.0,Rue Mably,Long,20.0,vert,20080717000000.0,1,Bon Etat,,11.0,"{""type"":""LineString"",""coordinates"":[[5.7336776,45.1887749],[5.7343056,45.1890071]]}","45.1888909976835,5.733991556450485"
4418,,Rue Marcel Peretto,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7291069,45.1799001],[5.729493,45.1793814]]}","45.17964070965591,5.7292999628857615"
4419,,Rue Marcel Peretto,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7295466,45.1793168],[5.7296817,45.1791414]]}","45.17922911416178,5.729614155645049"
4420,,Rue Marius Blanchet,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7496834,45.1784474],[5.7500075,45.178516]]}","45.17848168176586,5.749845423324394"
4422,,Rue des Maquis de l'Oisans,Épis,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7219543,45.1637714],[5.7238019,45.163797]]}","45.16378420190861,5.722878116799748"
448,4.0,Rue Dominique Villars,Long,20.0,vert,20080717000000.0,1,Dégradé,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7344087,45.1889815],[5.734531,45.188828]]}","45.18890475769215,5.734469831441791"
449,4.0,Rue Dominique Villars,Long,20.0,vert,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7340573,45.189423],[5.7341858,45.1892591]]}","45.18934101058392,5.734121547755162"
450,6.0,Rue Dominique Villars,Long,20.0,vert,20080717000000.0,1,Dégradé,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7343931,45.1891025],[5.7345881,45.188852]]}","45.18897727149185,5.734490631897555"
451,13.0,Rue Hébert,Épis,20.0,vert,20080717000000.0,1,Bon Etat,,12.0,"{""type"":""LineString"",""coordinates"":[[5.7334147,45.1893476],[5.7339111,45.1895316]]}","45.189439576334024,5.733662914314348"
